一一	iq5 iq3
七八個	tshiq5 paq9 ku3
七八名	tshiq5 paq9 min3
七八岁	tshiq5 paq9 soe3
七八年	tshiq5 paq9 gni3
七八成	tshiq5 paq9 zen3
七八歲	tshiq5 paq9 soe3
七八裏	tshiq5 paq9 li3
七八里	tshiq5 paq9 li3
七分	tshiq5 fen3
七十	tshiq5 seq3
七十二	tshiq5 zeq9 gni3
七十岁	tshiq5 zeq9 soe3
七十年	tshiq5 zeq9 gni3
七十歲	tshiq5 zeq9 soe3
七千	tshiq5 tshi3
七号	tshiq5 ghau3
七名	tshiq5 min3
七品	tshiq5 phin3
七嘴八舌	tshiq5 tsy9 paq9 zeq3
七夜	tshiq5 ya3
七大	tshiq5 da3
七天	tshiq5 thi3
七姐	tshiq5 tsia3
七尺	tshiq5 tshaq3
七屆	tshiq5 ka3
七届	tshiq5 ka3
七岁	tshiq5 soe3
七巧日	tshiq5 chiau9 gniq3
七年	tshiq5 gni3
七座	tshiq5 zu3
七弟	tshiq5 di3
七彩	tshiq5 tshe3
七律	tshiq5 liq3
七成	tshiq5 zen3
七手八脚	tshiq5 seu9 paq9 ciaq3
七手八腳	tshiq5 seu9 paq9 ciaq3
七折	tshiq5 tseq3
七日	tshiq5 gniq3
七星	tshiq5 sin3
七星魚	tshiq5 sin9 ng3
七星鱼	tshiq5 sin9 ng3
七月	tshiq5 yoq3
七条	tshiq5 diau3
七條	tshiq5 diau3
七次	tshiq5 tshy3
七歪八牽	tshiq5 hua9 paq9 chi3
七歲	tshiq5 soe3
七点	tshiq5 ti3
七种	tshiq5 zon3
七種	tshiq5 tson3
七窍	tshiq5 chiau3
七竅	tshiq5 chiau3
七米	tshiq5 mi3
七絕	tshiq5 ziq3
七绝	tshiq5 ziq3
七翹八裂	tshiq5 jiau9 paq9 liq3
七老八十	tshiq5 lau9 paq9 seq3
七萬	tshiq5 ve3
七號	tshiq5 ghau3
七裏	tshiq5 li3
七裏溝	tshiq5 li9 keu3
七言	tshiq5 yi3
七講八講	tshiq5 kaon9 paq9 kaon3
七道	tshiq5 dau3
七里	tshiq5 li3
七里沟	tshiq5 li9 keu3
七零八落	tshiq5 lin9 paq9 loq3
七點	tshiq5 ti3
万一	moq2 iq4
万万	moq2 moq4
万万岁	moq2 moq4 soe4
万丈	moq2 zan4
万不得已	moq2 peq4 teq4 i4
万世	moq2 sy4
万两	moq2 lian4
万个	moq2 gheq4
万事	moq2 zy4
万亩	moq2 meu4
万人次	moq2 zen4 tshy4
万亿	moq2 i4
万亿元	moq2 i4 gnioe4
万件	moq2 ji4
万份	moq2 ven4
万众	moq2 tson4
万众一心	moq2 tson4 iq4 sin4
万余	moq2 yu4
万余元	moq2 yu4 gnioe4
万俟	moq2 ji4
万倍	moq2 be4
万元	moq2 gnioe4
万全	moq2 zi4
万公斤	moq2 kon4 cin4
万公里	moq2 kon4 li4
万公顷	moq2 kon4 chin4
万册	moq2 tshaq4
万分	moq2 fen4
万分之一	moq2 fen4 tsy4 iq4
万千	moq2 tshi4
万千瓦	moq2 tshi4 ngo4
万千米	moq2 tshi4 mi4
万历	moq2 liq4
万古	moq2 ku4
万台	moq2 de4
万名	moq2 min4
万向	moq2 shian4
万吨	moq2 ten4
万吨级	moq2 ten4 ciq4
万国	moq2 koq4
万圭	moq2 kue4
万块	moq2 khue4
万多	moq2 tu4
万多个	moq2 tu4 gheq4
万多亩	moq2 tu4 meu4
万多元	moq2 tu4 gnioe4
万多公里	moq2 tu4 kon4 li4
万多公顷	moq2 tu4 kon4 chin4
万多名	moq2 tu4 min4
万头	moq2 deu4
万套	moq2 thau4
万学文	moq2 ghoq4 ven4
万学远	moq2 ghoq4 yoe4
万安	moq2 oe4
万宝	moq2 pau4
万家	moq2 ka4
万寿无疆	moq2 zeu4 wu4 cian4
万寿羹	moq2 zeu4 kan4
万尾	moq2 vi4
万山	moq2 se4
万岁	moq2 soe4
万州	moq2 tseu4
万左右	moq2 tsi4 yeu4
万平方公里	moq2 bin4 faon4 kon4 li4
万平方米	moq2 bin4 faon4 mi4
万年	moq2 gni4
万幸	moq2 yin4
万张	moq2 tsan4
万念俱灰	moq2 gni4 jiu4 hue4
万恶	moq2 oq4
万户	moq2 wu4
万斤	moq2 cin4
万方	moq2 faon4
万无一失	moq2 wu4 iq4 seq4
万有引力	moq2 yeu4 yin4 liq4
万枚	moq2 me4
万次	moq2 tshy4
万死一生	moq2 sy4 iq4 san4
万民	moq2 min4
万物	moq2 meq4
万状	moq2 zaon4
万福	moq2 foq4
万种	moq2 zon4
万科	moq2 khu4
万立方米	moq2 liq4 faon4 mi4
万籁俱寂	moq2 la4 jiu4 ziq4
万米	moq2 mi4
万线	moq2 si4
万美元	moq2 mhe4 gnioe4
万股	moq2 ku4
万能	moq2 nen4
万般	moq2 pe4
万般无奈	moq2 pe4 wu4 ne4
万英镑	moq2 in4 paon4
万象	moq2 zian4
万辆	moq2 lian4
万达	moq2 daq4
万部	moq2 bu4
万里	moq2 li4
万里迢迢	moq2 li4 diau4 diau4
万里长城	moq2 li4 tsan4 zen4
万金	moq2 cin4
万镑	moq2 paon4
万门	moq2 men4
万难	moq2 ne4
万震山	moq2 tsen4 se4
万顷	moq2 chin4
丈人	zan2 gnin4
丈人老頭	zan2 gnin4 lau4 deu4
丈夫	zan2 fu4
丈姆	zan2 mh4
丈姆娘	zan2 mh4 gnian4
丈母	zan2 mhu4
丈母娘	zan2 mhu4 gnian4
丈量	zan2 lian4
三七	se5 tshiq3
三万	se5 moq3
三万多	se5 moq9 tu3
三丈	se5 zan3
三三两两	se5 se9 lian9 lian3
三三兩兩	se5 se9 lian9 lian3
三下	se5 shia3
三世	se5 sy3
三两	se5 lian3
三个	se5 gheq3
三个代表	se5 gheq9 de9 piau3
三中	se5 tson3
三中全会	se5 tson9 zi9 khue3
三中全會	se5 tson9 zi9 khue3
三九	se5 cieu3
三五	se5 ng3
三五个	se5 ng9 gheq3
三五個	se5 ng9 ku3
三五年	se5 ng9 gni3
三五成羣	se5 ng9 zen9 jiun3
三五成群	se5 ng9 zen9 jiun3
三井	se5 tsin3
三亚	se5 ia3
三亞	se5 ia3
三代	se5 de3
三令五申	se5 lin9 ng9 sen3
三件	se5 ji3
三份	se5 ven3
三伏	se5 voq3
三伏天	se5 voq9 thi3
三位	se5 we3
三位一体	se5 we9 iq9 ben3
三位一體	se5 we9 iq9 thi3
三個	se5 gheq3
三個代表	se5 ku9 de9 piau3
三個字	se5 gheq9 zy3
三倍	se5 be3
三元	se5 gnioe3
三兩	se5 lian3
三八	se5 paq3
三八線	se5 paq9 si3
三八线	se5 paq9 si3
三公	se5 kon3
三具	se5 jiu3
三军	se5 ciun3
三农	se5 non3
三刀	se5 tau3
三分	se5 fen3
三分之一	se5 ven9 tsy9 iq3
三分球	se5 fen9 jieu3
三分鍾	se5 fen9 tson3
三分钟	se5 fen9 tson3
三则	se5 tseq3
三則	se5 tseq3
三北	se5 poq3
三匹	se5 phiq3
三十	se5 seq3
三十一	se5 zeq9 iq3
三十一年	se5 zeq9 iq9 gni3
三十七年	se5 zeq9 tshiq9 gni3
三十万	se5 zeq9 moq3
三十三年	se5 zeq9 se9 gni3
三十个	se5 zeq9 gheq3
三十九年	se5 zeq9 cieu9 gni3
三十二	se5 zeq9 gni3
三十二年	se5 zeq9 gni9 gni3
三十五	se5 zeq9 ng3
三十五年	se5 zeq9 ng9 gni3
三十余	se5 zeq9 yu3
三十余年	se5 zeq9 yu9 gni3
三十個	se5 zeq9 ku3
三十八年	se5 zeq9 paq9 gni3
三十六	se5 zeq9 loq3
三十六年	se5 zeq9 loq9 gni3
三十六扇	se5 zeq9 loq9 soe3
三十四年	se5 zeq9 sy9 gni3
三十多个	se5 zeq9 tu9 gheq3
三十多個	se5 zeq9 tu9 ku3
三十多岁	se5 zeq9 tu9 soe3
三十多年	se5 zeq9 tu9 gni3
三十多歲	se5 zeq9 tu9 soe3
三十岁	se5 zeq9 soe3
三十年	se5 zeq9 gni3
三十日	se5 zeq9 zeq3
三十歲	se5 seq9 soe3
三十萬	se5 zeq9 ve3
三十裏	se5 zeq9 li3
三十里	se5 zeq9 li3
三十餘	se5 zeq9 yu3
三十餘年	se5 zeq9 yu9 gni3
三千	se5 tshi3
三千两	se5 tshi9 lian3
三千兩	se5 tshi9 lian3
三千粒	se5 tshi9 liq3
三卷	se5 cioe3
三叉	se5 tsho3
三叉戟	se5 tsho9 ciq3
三叉路	se5 tsho9 lu3
三叉路口	se5 tsho9 lu9 kheu3
三反	se5 fe3
三叠	se5 deq3
三叠纪	se5 deq9 ci3
三口	se5 kheu3
三句	se5 ciu3
三只	se5 tseq3
三台	se5 de3
三号	se5 ghau3
三合	se5 gheq3
三名	se5 min3
三员	se5 yoe3
三品	se5 phin3
三員	se5 yoe3
三四	se5 sy3
三四万	se5 sy9 moq3
三四个	se5 sy9 gheq3
三四個	se5 sy9 ku3
三四十	se5 sy9 zeq3
三四千	se5 sy9 tshi3
三四天	se5 sy9 thi3
三四年	se5 sy9 gni3
三四百	se5 sy9 paq3
三四萬	se5 sy9 ve3
三国	se5 koq3
三国志	se5 koq9 tsy3
三国演义	se5 koq9 i9 gni3
三圈	se5 chioe3
三國	se5 koq3
三國志	se5 koq9 tsy3
三國演義	se5 koq9 i9 gni3
三圍	se5 we3
三场	se5 zan3
三块	se5 khue3
三場	se5 zan3
三塊	se5 khue3
三声	se5 san3
三处	se5 tshy3
三夏	se5 gho3
三夜	se5 ya3
三大	se5 da3
三大战役	se5 du9 tsoe9 yoq3
三大戰役	se5 du9 tsoe9 yoq3
三天	se5 thi3
三天三夜	se5 thi9 se9 ya3
三天两头	se5 thi9 lian9 deu3
三天兩頭	se5 thi9 lian9 deu3
三头	se5 deu3
三头六臂	se5 deu9 loq9 pi3
三套	se5 thau3
三姐	se5 tsia3
三子	se5 tsy3
三官庙	se5 kuoe9 miau3
三官廟	se5 kuoe9 miau3
三宝	se5 pau3
三害	se5 ghe3
三家	se5 ka3
三寶	se5 pau3
三寸	se5 tshen3
三尺	se5 tshaq3
三局	se5 jioq3
三层	se5 zen3
三屆	se5 ka3
三届	se5 ka3
三層	se5 zen3
三山	se5 se3
三岁	se5 soe3
三峡	se5 kaq3
三峡大坝	se5 kaq9 du9 pa3
三峽	se5 yaq3
三峽大壩	se5 kaq9 du9 pa3
三年	se5 gni3
三座	se5 zu3
三座門	se5 zu9 men3
三座门	se5 zu9 men3
三弟	se5 di3
三张	se5 tsan3
三弦	se5 yi3
三張	se5 tsan3
三心二意	se5 sin9 gni9 i3
三思	se5 sy3
三成	se5 zen3
三戶	se5 wu3
三户	se5 wu3
三才	se5 ze3
三批	se5 phi3
三把	se5 pa3
三招	se5 tsau3
三拳	se5 jioe3
三支	se5 tsy3
三教	se5 ciau3
三斤	se5 cin3
三方	se5 faon3
三日	se5 gniq3
三星	se5 sin3
三星电子	se5 sin9 di9 tsy3
三星級	se5 sin9 ciq3
三星级	se5 sin9 ciq3
三星電子	se5 sin9 di9 tsy3
三昧	se5 me3
三晉	se5 tsin3
三晋	se5 tsin3
三更	se5 kan3
三更天	se5 kan9 thi3
三會	se5 we3
三月	se5 yoq3
三月份	se5 yoq9 ven3
三朝	se5 tsau3
三朝四日	se5 tsau9 sy9 gniq3
三期	se5 ji3
三本	se5 pen3
三条	se5 diau3
三杯	se5 pe3
三枚	se5 me3
三枝	se5 tsy3
三根	se5 ken3
三桥	se5 jiau3
三條	se5 diau3
三棲	se5 tshi3
三橋	se5 jiau3
三次	se5 tshy3
三步	se5 bu3
三步走	se5 bu9 tseu3
三歲	se5 soe3
三段論	se5 doe9 len3
三段论	se5 doe9 len3
三毛	se5 mau3
三民主义	se5 min9 tsy9 gni3
三民主義	se5 min9 tsy9 gni3
三水	se5 sy3
三江	se5 kaon3
三江平原	se5 cian9 bin9 gnioe3
三河	se5 wu3
三派	se5 pha3
三清	se5 tshin3
三点	se5 ti3
三焦	se5 tsiau3
三王	se5 waon3
三环	se5 gue3
三環	se5 gue3
三生	se5 san3
三甲	se5 ciaq3
三番	se5 fe3
三疊	se5 diq3
三疊紀	se5 deq9 ci3
三百	se5 paq3
三百两	se5 paq9 lian3
三百兩	se5 paq9 lian3
三百名	se5 paq9 min3
三百年	se5 paq9 gni3
三皇	se5 waon3
三盘	se5 boe3
三盤	se5 boe3
三相	se5 sian3
三碗	se5 uoe3
三种	se5 zon3
三種	se5 tson3
三端	se5 toe3
三等	se5 ten3
三等奖	se5 ten9 tsian3
三等獎	se5 ten9 tsian3
三節	se5 tsiq3
三类	se5 le3
三級	se5 ciq3
三維	se5 vi3
三線	se5 si3
三级	se5 ciq3
三线	se5 si3
三维	se5 vi3
三老	se5 lau3
三者	se5 tse3
三联	se5 li3
三联书店	se5 li9 sy9 ti3
三聚氰胺	se5 ziu9 tshin9 oe3
三聯	se5 li3
三聯書店	se5 li9 sy9 ti3
三聲	se5 san3
三股	se5 ku3
三自愛國	se5 zy9 e9 koq3
三自爱国	se5 zy9 e9 koq3
三臺	se5 de3
三艘	se5 sau3
三节	se5 tsiq3
三菱	se5 lin3
三萬	se5 ve3
三萬多	se5 ve9 tu3
三藏	se5 zan3
三處	se5 tshy3
三號	se5 ghau3
三裏	se5 li3
三角	se5 koq3
三角函数	se5 koq9 ghoe9 su3
三角函數	se5 koq9 ghoe9 su3
三角学	se5 koq9 ghoq3
三角學	se5 koq9 ghoq3
三角形	se5 koq9 yin3
三角洲	se5 koq9 tseu3
三言两语	se5 yi9 lian9 gniu3
三言兩語	se5 yi9 lian9 gniu3
三講	se5 cian3
三讲	se5 cian3
三資企業	se5 tsy9 chi9 gniq3
三资企业	se5 tsy9 chi9 gniq3
三趾馬	se5 tsy9 ma3
三趾马	se5 tsy9 ma3
三路	se5 lu3
三軍	se5 ciun3
三輛	se5 lian3
三輪	se5 len3
三輪車	se5 len9 tsho3
三轮	se5 len3
三轮车	se5 len9 tsho3
三辆	se5 lian3
三農	se5 non3
三边	se5 pi3
三连冠	se5 li9 kuoe3
三通	se5 thon3
三連冠	se5 li9 kuoe3
三遍	se5 pi3
三道	se5 dau3
三邊	se5 pi3
三部	se5 bu3
三部曲	se5 bu9 chioq3
三里	se5 li3
三重	se5 zon3
三鎮	se5 tsen3
三镇	se5 tsen3
三長兩短	se5 tsan9 lian9 toe3
三长两短	se5 tsan9 lian9 toe3
三門	se5 men3
三門峽	se5 men9 kaq3
三間	se5 ci3
三门	se5 men3
三门峡	se5 men9 kaq3
三间	se5 ci3
三队	se5 de3
三院	se5 yoe3
三陪	se5 be3
三隊	se5 de3
三面	se5 mi3
三項	se5 ghaon3
三頭	se5 deu3
三頭六臂	se5 deu9 loq9 pi3
三顆	se5 khu3
三類	se5 le3
三顧茅廬	se5 ku9 mau9 lu3
三项	se5 ghaon3
三顾茅庐	se5 ku9 mau9 lu3
三颗	se5 khu3
三餐	se5 tshoe3
三鮮	se5 si3
三鲜	se5 si3
三點	se5 ti3
上一年	zaon2 iq4 gni4
上万	zaon2 moq4
上万元	zaon2 moq4 gnioe4
上万头	zaon2 moq4 deu4
上三	zaon2 se4
上上下下	zaon2 zaon4 gho4 gho4
上上個月	zaon2 zaon4 gheq4 yoq4
上下	zaon2 gho4
上下左右	zaon2 gho4 tsi4 yeu4
上下文	zaon2 gho4 ven4
上下水	zaon2 gho4 sy4
上下班	zaon2 gho4 pe4
上下級	zaon2 gho4 ciq4
上下级	zaon2 gho4 ciq4
上不	zaon2 peq4
上个月	zaon2 gheq4 yoq4
上中	zaon2 tson4
上乘	zaon2 zen4
上书	zaon2 sy4
上了	zaon2 liau4
上交	zaon2 kau4
上京	zaon2 cin4
上人	zaon2 gnin4
上仍	zaon2 gnin4
上代	zaon2 de4
上任	zaon2 zen4
上传	zaon2 zoe4
上位	zaon2 we4
上体	zaon2 ben4
上來	zaon2 le4
上供	zaon2 kon4
上個	zaon2 ku4
上個月	zaon2 gheq4 yoq4
上傳	zaon2 zoe4
上元	zaon2 gnioe4
上党	zaon2 taon4
上分	zaon2 fen4
上前	zaon2 zi4
上劲	zaon2 cin4
上勁	zaon2 cin4
上勿去	zaon2 veq4 chi4
上北	zaon2 poq4
上千	zaon2 tshi4
上升	zaon2 sen4
上午	zaon2 wu4
上半	zaon2 poe4
上半叶	zaon2 poe4 yaq4
上半场	zaon2 poe4 zan4
上半場	zaon2 poe4 zan4
上半年	zaon2 poe4 gni4
上半日	zaon2 poe4 gniq4
上半时	zaon2 poe4 zy4
上半時	zaon2 poe4 zy4
上半葉	zaon2 poe4 yiq4
上半身	zaon2 poe4 sen4
上卷	zaon2 cioe4
上去	zaon2 chi4
上又	zaon2 yeu4
上古	zaon2 ku4
上台	zaon2 de4
上司	zaon2 sy4
上吊	zaon2 tiau4
上告	zaon2 kau4
上周	zaon2 tseu4
上周五	zaon2 tseu4 ng4
上周末	zaon2 tseu4 meq4
上呼吸道	zaon2 hu4 shiq4 dau4
上品	zaon2 phin4
上唇	zaon2 zen4
上地	zaon2 di4
上场	zaon2 zan4
上坡	zaon2 phu4
上城	zaon2 zen4
上報	zaon2 pau4
上場	zaon2 zan4
上天	zaon2 thi4
上头	zaon2 deu4
上好	zaon2 hau4
上学	zaon2 ghoq4
上學	zaon2 ghoq4
上官	zaon2 kuoe4
上官云	zaon2 kuoe4 yun4
上官洲	zaon2 kuoe4 tseu4
上官雲	zaon2 kuoe4 yun4
上家	zaon2 ka4
上宾	zaon2 pin4
上将	zaon2 tsian4
上將	zaon2 tsian4
上尉	zaon2 ue4
上层	zaon2 zen4
上层建筑	zaon2 zen4 ci4 tsoq4
上屆	zaon2 ka4
上届	zaon2 ka4
上屋	zaon2 oq4
上屏	zaon2 bin4
上層	zaon2 zen4
上層建築	zaon2 zen4 ci4 tsoq4
上山	zaon2 se4
上山下乡	zaon2 se4 gho4 shian4
上山下鄉	zaon2 se4 gho4 shian4
上岗	zaon2 kaon4
上岸	zaon2 ngoe4
上峯	zaon2 fon4
上峰	zaon2 fon4
上崗	zaon2 kaon4
上工	zaon2 kon4
上市	zaon2 zy4
上帝	zaon2 ti4
上年	zaon2 gni4
上床	zaon2 zaon4
上当	zaon2 taon4
上御玺	zaon2 gniu4 si4
上御璽	zaon2 gniu4 si4
上成	zaon2 zen4
上戶	zaon2 wu4
上户	zaon2 wu4
上房	zaon2 faon4
上手	zaon2 seu4
上扬	zaon2 yan4
上报	zaon2 pau4
上推	zaon2 the4
上揚	zaon2 yan4
上攻	zaon2 kon4
上新世	zaon2 sin4 sy4
上方	zaon2 faon4
上日	zaon2 gniq4
上旬	zaon2 zin4
上映	zaon2 ian4
上更	zaon2 kan4
上書	zaon2 sy4
上曾	zaon2 zen4
上月	zaon2 yoq4
上望	zaon2 maon4
上朝	zaon2 tsau4
上期	zaon2 ji4
上机	zaon2 ci4
上来	zaon2 le4
上校	zaon2 yau4
上桌	zaon2 tsoq4
上楼	zaon2 leu4
上榜	zaon2 paon4
上樓	zaon2 leu4
上機	zaon2 ci4
上橫頭	zaon2 wan4 deu4
上次	zaon2 tshy4
上步	zaon2 bu4
上气不接下气	zaon2 chi4 peq4 tsiq4 gho4 chi4
上氣不接下氣	zaon2 chi4 peq4 tsiq4 gho4 chi4
上流	zaon2 lieu4
上浮	zaon2 vu4
上海	zaon2 he4
上海交大	zaon2 he4 kau4 du4
上海交通大学	zaon2 he4 kau4 thon4 du4 ghoq4
上海交通大學	zaon2 he4 kau4 thon4 du4 ghoq4
上海人	zaon2 he4 gnin4
上海地区	zaon2 he4 di4 chiu4
上海地區	zaon2 he4 di4 chiu4
上海大学	zaon2 he4 du4 ghoq4
上海大學	zaon2 he4 du4 ghoq4
上海市	zaon2 he4 zy4
上海水产大学	zaon2 he4 sy4 tshe4 du4 ghoq4
上海水產大學	zaon2 he4 sy4 tshe4 du4 ghoq4
上海浦东	zaon2 he4 phu4 ton4
上海浦東	zaon2 he4 phu4 ton4
上海港	zaon2 he4 kaon4
上海滩	zaon2 he4 the4
上海灘	zaon2 he4 the4
上海申花	zaon2 he4 sen4 hua4
上海言話	zaon2 he4 ghe4 gho4
上海閑話	zaon2 he4 ghe4 gho4
上海队	zaon2 he4 de4
上海隊	zaon2 he4 de4
上涌	zaon2 ion4
上涨	zaon2 tsan4
上游	zaon2 yeu4
上湧	zaon2 ion4
上溯	zaon2 soq4
上演	zaon2 i4
上漲	zaon2 tsan4
上火	zaon2 hu4
上爬	zaon2 ba4
上牀	zaon2 zaon4
上班	zaon2 pe4
上班族	zaon2 pe4 zoq4
上甘岭	zaon2 koe4 lin4
上甘嶺	zaon2 koe4 lin4
上當	zaon2 taon4
上當學乖	zaon2 taon4 ghoq4 kua4
上瘾	zaon2 in4
上癮	zaon2 in4
上百	zaon2 paq4
上皮	zaon2 bi4
上空	zaon2 khon4
上端	zaon2 toe4
上策	zaon2 tshaq4
上篮	zaon2 le4
上籃	zaon2 le4
上級	zaon2 ciq4
上網	zaon2 maon4
上線	zaon2 si4
上繳	zaon2 ciau4
上级	zaon2 ciq4
上线	zaon2 si4
上缴	zaon2 ciau4
上网	zaon2 maon4
上翹	zaon2 chiau4
上联	zaon2 li4
上聯	zaon2 li4
上聲	zaon2 sen4
上肢	zaon2 tsy4
上肥	zaon2 vi4
上脣	zaon2 zen4
上臂	zaon2 pi4
上臺	zaon2 de4
上船	zaon2 zoe4
上苍	zaon2 tshaon4
上萬	zaon2 ve4
上萬元	zaon2 ve4 gnioe4
上萬頭	zaon2 ve4 deu4
上蒼	zaon2 tshaon4
上蓋	zaon2 ke4
上虞	zaon2 gniu4
上行	zaon2 ghaon4
上街	zaon2 ka4
上衣	zaon2 i4
上表	zaon2 piau4
上装	zaon2 tsaon4
上裝	zaon2 tsaon4
上西天	zaon2 si4 thi4
上規模	zaon2 kue4 mu4
上规模	zaon2 kue4 mu4
上訪	zaon2 faon4
上訴	zaon2 su4
上說	zaon2 seq4
上課	zaon2 khu4
上調	zaon2 diau4
上諭	zaon2 yu4
上講	zaon2 kaon4
上證	zaon2 tsen4
上議院	zaon2 gni4 yoe4
上议院	zaon2 gni4 yoe4
上访	zaon2 faon4
上证	zaon2 tsen4
上诉	zaon2 su4
上课	zaon2 khu4
上调	zaon2 diau4
上谕	zaon2 yu4
上賓	zaon2 pin4
上賽季	zaon2 se4 ci4
上赛季	zaon2 se4 ci4
上路	zaon2 lu4
上身	zaon2 sen4
上車	zaon2 tsho4
上车	zaon2 tsho4
上边	zaon2 pi4
上达	zaon2 daq4
上进	zaon2 tsin4
上述	zaon2 zeq4
上進	zaon2 tsin4
上遊	zaon2 yeu4
上達	zaon2 daq4
上邊	zaon2 pi4
上部	zaon2 bu4
上鉤	zaon2 keu4
上鋪	zaon2 phu4
上钩	zaon2 keu4
上铺	zaon2 phu4
上門	zaon2 men4
上門女婿	zaon2 men4 gniu4 siu4
上闕	zaon2 chioq4
上门	zaon2 men4
上阵	zaon2 zen4
上限	zaon2 ghe4
上院	zaon2 yoe4
上陣	zaon2 zen4
上面	zaon2 mi4
上頜	zaon2 keq4
上頭	zaon2 deu4
上颌	zaon2 keq4
上風	zaon2 fon4
上风	zaon2 fon4
上饒	zaon2 zau4
上饶	zaon2 zau4
上首	zaon2 seu4
上馬	zaon2 mo4
上马	zaon2 ma4
上體	zaon2 thi4
上高	zaon2 kau4
上黨	zaon2 taon4
下一	gho2 iq4
下一代	gho2 iq4 de4
下一场	gho2 iq4 zan4
下一場	gho2 iq4 zan4
下三滥	gho2 se4 le4
下三濫	gho2 se4 le4
下下個月	gho2 gho4 gheq4 yoq4
下世	gho2 sy4
下世紀	gho2 sy4 ci4
下世纪	gho2 sy4 ci4
下丘脑	gho2 chieu4 nau4
下丘腦	gho2 chieu4 nau4
下之	gho2 tsy4
下乘	gho2 zen4
下乡	gho2 shian4
下了	gho2 liau4
下井	gho2 tsin4
下人	gho2 gnin4
下仍	gho2 gnin4
下他	gho2 tha4
下令	gho2 lin4
下任	gho2 zen4
下位	gho2 we4
下体	gho2 ben4
下作坯	gho2 tsoq4 phe4
下來	gho2 le4
下個	gho2 gheq4
下個月	gho2 gheq4 yoq4
下側	gho2 tseq4
下傳	gho2 zoe4
下僚	gho2 liau4
下关	gho2 kue4
下决心	gho2 cioq4 sin4
下凡	gho2 ve4
下刀	gho2 tau4
下切	gho2 tshiq4
下列	gho2 liq4
下到	gho2 tau4
下力	gho2 liq4
下功夫	gho2 kon4 fu4
下勁	gho2 cin4
下北	gho2 poq4
下午	gho2 wu4
下半	gho2 poe4
下半叶	gho2 poe4 yaq4
下半场	gho2 poe4 zan4
下半場	gho2 poe4 zan4
下半夜	gho2 poe4 ya4
下半天	gho2 poe4 thi4
下半年	gho2 poe4 gni4
下半日	gho2 poe4 gniq4
下半时	gho2 poe4 zy4
下半時	gho2 poe4 zy4
下半葉	gho2 poe4 yiq4
下半身	gho2 poe4 sen4
下卷	gho2 cioe4
下压	gho2 aq4
下厰	gho2 tshan4
下去	gho2 chi4
下又	gho2 yeu4
下发	gho2 faq4
下台	gho2 de4
下同	gho2 don4
下周	gho2 tseu4
下咽	gho2 i4
下品	gho2 phin4
下唇	gho2 zen4
下喙	gho2 hue4
下單	gho2 te4
下嚥	gho2 i4
下回	gho2 we4
下回分解	gho2 we4 fen4 ka4
下图	gho2 du4
下圖	gho2 du4
下地	gho2 di4
下场	gho2 zan4
下坠	gho2 zoe4
下坡	gho2 phu4
下垂	gho2 zoe4
下城	gho2 zen4
下基层	gho2 ci4 zen4
下基層	gho2 ci4 zen4
下場	gho2 zan4
下墜	gho2 zoe4
下壓	gho2 aq4
下士	gho2 zy4
下处	gho2 tshy4
下女	gho2 gniu4
下奶	gho2 na4
下嫁	gho2 ka4
下子	gho2 tsy4
下學	gho2 ghoq4
下官	gho2 kuoe4
下定	gho2 din4
下定决心	gho2 din4 cioq4 sin4
下定決心	gho2 din4 cioq4 sin4
下家	gho2 ka4
下就	gho2 zieu4
下层	gho2 zen4
下屆	gho2 ka4
下届	gho2 ka4
下属	gho2 zoq4
下層	gho2 zen4
下屬	gho2 zoq4
下山	gho2 se4
下岗	gho2 kaon4
下崗	gho2 kaon4
下工	gho2 kon4
下巴	gho2 pa4
下帖	gho2 thiq4
下底	gho2 ti4
下底頭	gho2 ti4 deu4
下座	gho2 zu4
下廚	gho2 zy4
下情	gho2 zin4
下意識	gho2 i4 seq4
下意识	gho2 i4 seq4
下我	gho2 ngu4
下或	gho2 ghoq4
下手	gho2 seu4
下把戲	gho2 po4 shi4
下拉	gho2 lha4
下拜	gho2 pa4
下挫	gho2 tshu4
下探	gho2 thoe4
下揚州	gho2 yan4 tseu4
下摆	gho2 pa4
下撥	gho2 peq4
下操	gho2 tshau4
下擺	gho2 pa4
下放	gho2 faon4
下文	gho2 ven4
下新	gho2 sin4
下方	gho2 faon4
下旬	gho2 zhiun4
下晚	gho2 ue4
下晝	gho2 tseu4
下月	gho2 yoq4
下有	gho2 yeu4
下期	gho2 ji4
下来	gho2 le4
下東	gho2 ton4
下棋	gho2 ji4
下楼	gho2 leu4
下榻	gho2 thaq4
下樓	gho2 leu4
下標	gho2 piau4
下機	gho2 ci4
下橫頭	gho2 wan4 deu4
下檔	gho2 taon4
下欠	gho2 chi4
下次	gho2 tshy4
下款	gho2 khue4
下毒	gho2 doq4
下毒手	gho2 doq4 seu4
下水	gho2 sy4
下水道	gho2 sy4 dau4
下江	gho2 kaon4
下決心	gho2 cioq4 sin4
下沉	gho2 zen4
下河	gho2 wu4
下注	gho2 tsy4
下流	gho2 lieu4
下浮	gho2 veu4
下海	gho2 he4
下游	gho2 yeu4
下滑	gho2 waq4
下潛	gho2 zi4
下潜	gho2 zi4
下炕	gho2 khaon4
下營	gho2 yin4
下爲	gho2 we4
下牀	gho2 zaon4
下狱	gho2 gnioq4
