ᎯᎠ ᎪᏪᎵ ᎧᏃᎮᎭ ᎤᏁᏢᏔᏅᎡ ᏥᏌ ᎦᎶᏁᏛ, ᏕᏫ ᎤᏪᏥ, ᎡᏆᎭᎻ ᎤᏪᏥ.	hia koweli kʰanoheha unet͡ɬə̃tʰanə̃e t͡sisa kalonetə̃ , tewi uwet͡si , ekʷahami uwet͡si .
ᏕᎪᏪᎵᏍᎬ ᏂᎦᎵᏍᏗᏍᎬ ᎦᏁᎬᎢ. ᏁᎵᏍᎪ ᏑᏓᎵ ᎢᏳᏓᎴᎩ ᎦᏁᏍᏗ ᏚᏬᏪᎳᏁᎢ. ᎤᏍᏗ ᎠᎨᏳᏣ ᎤᏪᏥ, ᎠᏲᎦ ᏧᏙᎢᏓ, ᎠᎯᏓ ᎤᏕᎶᏆᎡᎢ ᎤᏬᏪᎶᏗ ᏣᎳᎩ. ᎤᏎᎮᎴ ᏔᎵᏁ ᎠᎾᏟᏅᏢ, ᏣᏥ Lowery, ᏙᏱᏗᏝ ᏭᏎᎮᎴ ᎤᏪᏅᏍᏗ ᎠᏲᎦ, ᏅᏊ ᏅᏛᏛᏁᎢ ᎪᎰᏍᏗ ᏣᏥ. ᏏᏉᏯ ᎤᏬᏪᎳᏁ ᎤᏬᎭᎵᏴᏓ ᏅᏊᎴ ᎤᏛᏛᏁᎢ ᎠᏲᎦ ᎤᎪᎵᏰᏗᎢ. ᎤᏍᏗᏰᏔᏁ ᏣᏥ ᎠᏂᏐᎢ ᏴᏫ ᏧᏎᎮᏗ ᏂᎬᏁᎲ	tekoweliskə̃ nikalistiskə̃ kanekə̃i . nelisko sutali ijutaleki kanesti tuwowelanei . usti akejut͡sa uwet͡si , ajoka t͡sutoita , ahita utelokʷaei uwoweloti t͡salaki . usehele tʰaline anat͡ɬinə̃t͡ɬə̃ , t͡sat͡si lˈaᶷɚi , tojitit͡ɬa wusehele uwenə̃sti ajoka , nə̃kʷu nə̃tə̃tə̃nei kohosti t͡sat͡si . sikʷoja uwowelane uwohalijə̃ta nə̃kʷule utə̃tə̃nei ajoka ukolijetii . ustijetʰane t͡sat͡si anisoi jə̃wi t͡suseheti nikə̃nehə̃
ᎯᎠ ᏚᏙᎥ ᏏᏉᏯ ᎠᎴ Sikwâ'yǐ ᎨᏒᎢ ᎤᏬᎯᏳᏅ ᎾᏍᏋ ᏗᎫᎪᏔᏅ ᏂᏛᎴᏅᏓ ᎯᎠ ᏣᎳᎩ ᎧᏁᏨ ᏏᏆ ᏏᏆ ᎦᏛᎬᎢ "ᏏᏆ". ᎪᎯ ᎨᏒᎢ ᎢᏳᏍᏗᏊ ᏩᏎᎸᎯ ᎠᏛᏍᎩ ᎤᏙᏢᏒ ᎠᎴ ᎣᏂᏯᎨᏍᏙᏗ ᎠᏥᏐᏅᏅ Ꮎ ᎠᎦᏍᎦᏂ ᏏᏉᏯ ᏰᎵᏆ ᎢᏯᏛᏁᏗ.	hia tutoə̃ sikʷoja ale sˈiːkweᶦˌɪ kesə̃i uwohijunə̃ naskʷə̃ tikukotʰanə̃ nitə̃lenə̃ta hia t͡salaki kʰanet͡sə̃ sikʷa sikʷa katə̃kə̃i sikʷa . kohi kesə̃i ijustikʷu waselə̃hi atə̃ski utot͡ɬə̃sə̃ ale onijakestoti at͡sisonə̃nə̃ na akaskani sikʷoja jelikʷa ijatə̃neti .
ᎤᎶᏐᏅ ᎯᎠ ᎪᎯᏳᏙᏗ ᎤᏤᎵ ᏣᎳᎩ ᏗᎪᏪᎵ ᎾᎥᎢ ᎯᎠ ᎠᏰᎵ ᎤᏙᏢᏒ ᎭᏫᎾᏗᏢ 1825, ᏏᏉᏯ ᎠᎢᏒᎩ ᎯᎠ ᎢᏤ ᏣᎳᎩ ᏀᎾ ᎨᏒ ᎭᏫᎾᏗᏢ ᏲᏩᏁᎬ. ᏀᎾᎢ ᎾᏍᎩ ᎠᏍᎦᏯ ᎠᏫᏒᏗ ᎦᎸᎳᏗᏢ ᎪᏢᏅᎥᏍᎩ ᏗᎦᎸᏫᏍᏓᏁᏗ ᎠᎴ ᎠᎹ ᏧᏂᎸᏫᏍᏓᏁᏗ. ᎾᏍᎩ ᎠᏍᎦᏯ ᎤᎵᏱᎸᏛ ᏕᏕᏲᏗ ᎯᎠ ᏣᎳᎩ ᏗᎪᏪᎵ ᎾᏂᎥᏇ ᎦᎪ ᎤᎷᏨᎩ ᎾᏍᎩ ᎠᏍᎦᏯ. ᎭᏫᎾᏗᏢ 1828, ᏏᏉᏯ ᎥᎢᏒᎢ ᏬᏏᏓᏂ, D.C. ᏥᏄᏍᏗ ᎢᎦᏛ ᎦᏅᏍᎨᏂ ᏗᏓᏁᏤᏗ ᎧᏃᎮᏛ ᏓᏠᎯᏍᏛ ᎾᏍᎩᎾᎢ ᎦᏙᎯ ᎭᏫᎾᏗᏢ ᎣᎦᎳᎰᎻ.	ulosonə̃ hia kohijutoti ut͡seli t͡salaki tikoweli naə̃i hia ajeli utot͡ɬə̃sə̃ hawinatit͡ɬə̃ ijakajə̃li nelaskohit͡sikʷa tʰalisko hiski , sikʷoja aisə̃ki hia it͡se t͡salaki nana kesə̃ hawinatit͡ɬə̃ jowanekə̃ . nanai naski askaja awisə̃ti kalə̃latit͡ɬə̃ kot͡ɬə̃nə̃ə̃ski tikalə̃wistaneti ale ama t͡sunilə̃wistaneti . naski askaja ulijilə̃tə̃ tetejoti hia t͡salaki tikoweli naniə̃kʷe kako ulut͡sə̃ki naski askaja . hawinatit͡ɬə̃ ijakajə̃li nelaskohit͡sikʷa tʰalisko t͡sanela , sikʷoja ə̃isə̃i wositani , dˈiː . sˈiː . t͡sinusti ikatə̃ kanə̃skeni titanet͡seti kʰanohetə̃ tat͡ɬohistə̃ naskinai katohi hawinatit͡ɬə̃ okalahomi .
The Life and Work of Sequoyah; Chronicles of ᎣᎦᎳᎰᎹ	ðˈə lˈaᶦf ˈənd wˈɝk ˈʌv sᵻkwˈɔᶦə , kɹˈɑːnɪkəɫz ˈʌv okalahoma
ᎤᏍᏓᎦᎸ (usdagalv) ᎠᎴ ᎤᏍᏓᎦᏢ (usdagatlv) ᎨᏒᎢ ᏂᎬᏩᏍᏛ ᎭᏫᎾᏗᏢ ᎦᏙᎯ ᎥᏝ ᎪᏍᏗ ᎡᏆ ᏰᎵᏊ ᎾᏍᎩᎾᎢ ᎤᏔᎾ ᏴᏫ ᎠᏴᏍᏗ. ᎢᎦᏛ ᎧᏃᎮᎸᏗ ᏓᏓᏁᏤᎸ Ꮎ ᎾᏍᎩ ᎠᏎᏅ ᎾᏍᏋ ᎡᏆ ᏰᎵᏊ Ꮎ ᎢᎦᏛ ᎢᎦᏛ ᎾᏍᎩ ᏫᎵ ᎾᏍᎩ ᏂᎨᏒᎾ ᎠᎩᏍᏗ ᎡᎦᎫᏘ; ᏱᏂᎬᏛᎾ, ᎭᏫᎾᏗᏢ ᎤᏂᎸᏉᏗ ᏓᎦᏘᎴᎬ, ᎯᎠ ᎠᎴᏂᏍᎬ ᎠᏠᏯᏍᏗ ᎠᏂᎦᏲᎵ ᎤᏜᏅᏛ ᎾᏍᎩᏯᎢ ᏂᎦᏛᎢ cavities, ᏅᏯ ᏄᎾᏰᎯᏍᏛᎾ ᎠᎴ ᎠᎺᏉᎯ ᎤᏍᏔᎦᎳᏱ.	ustakalə̃ ˈʌsdəɡɑːɫv ale ustakat͡ɬə̃ əsdˈæɡət̬ˌʌv kesə̃i nikə̃wastə̃ hawinatit͡ɬə̃ katohi ə̃t͡ɬa kosti ekʷa jelikʷu naskinai utʰana jə̃wi ajə̃sti . ikatə̃ kʰanohelə̃ti tatanet͡selə̃ na naski asenə̃ naskʷə̃ ekʷa jelikʷu na ikatə̃ ikatə̃ naski wili naski nikesə̃na akisti ekakutʰi , jinikə̃tə̃na , hawinatit͡ɬə̃ unilə̃kʷoti takatʰilekə̃ , hia aleniskə̃ at͡ɬojasti anikajoli ut͡ɬanə̃tə̃ naskijai nikatə̃i kʰˈævᵻt̬iz , nə̃ja nunajehistə̃na ale amekʷohi ustʰakalaji .
ᎤᎶᎩᎳ (ulogila) ᎨᏒᎢ ᎬᎪᏩᏛᏗ ᎦᏟᏌᏅ ᎤᎪᏗᏗ ᎦᏟᏌᏅ ᎦᎴᏴᏔᏅ ᎠᏍᏓᏩᏛᏍᏗ ᎠᎴ ᎤᏁᏍᏓᎳ ᎤᏓᏅᏖᏗ ᎦᏛᎢ ᎭᏫᎾᏗᏢ ᎯᎠ ᎦᏃᎴᏍᎬ ᎦᎸᎳᏗᏢ ᎯᎠ ᎦᏚᎢ ᎯᎠ ᎡᎶᎯ ᎠᎴ ᏄᏓᎴ ...	ulokila uːloᶷd͡ʒˈiːlə kesə̃i kə̃kowatə̃ti kat͡ɬisanə̃ ukotiti kat͡ɬisanə̃ kalejə̃tʰanə̃ astawatə̃sti ale unestala utanə̃tʰeti katə̃i hawinatit͡ɬə̃ hia kanoleskə̃ kalə̃latit͡ɬə̃ hia katui hia elohi ale nutale .
ᎯᎠ ᎨᏯᏔᎯ ᎬᎾ (Meleagris gallopavo) ᎨᏒᎢ gamebird, ᏌᏊ ᎯᎠ ᏔᎵ ᎢᏧᎳᎭ ᏗᏂᏱᎴᎩ ᎬᎾ. ᎤᏔᎾ ᎤᎭ ᎤᏍᏗ ...	hia kejatʰahi kə̃na mˈɛləɡɹɪs ɡɑːloᶷpʰˈɑːvoᶷ kesə̃i ɡˈeᶦmbɝd , sakʷu hia tʰali it͡sulaha tinijileki kə̃na . utʰana uha usti .
ᏓᏬᎵ ᎨᏒᎢ ᎦᎸᎳᏗᏢ-ᎦᏙᎯ ᎤᏓᏔᏅ ᎠᎩᏍᏗ ᎠᏰᎸ (Ꮎ ᎨᏒᎢ, ᏓᏪᎳᎩᏍᎩ-ᎠᏛᎯᏍᏗᏍᎬ ᎠᏛᎯᏍᏙᏗ) ᏂᎯ, ᎤᎲᎢ ᎤᏒᏙᏂ ᎠᎴ ᎠᎵᏍᏚᎶ. ᎾᎥᎢ ᎧᏁᏉᎥᎢ, ᎾᏍᎩ ᏫᏚᏳᎪᏛ ᎯᎠ ᏂᎦᏛ ᏂᎯ ᎠᏛᎯᏍᏗᏍᎬ ᎯᎠ ᎤᏓᏔᏅ ᎠᎩᏍᏗ ᎠᏰᎸ ᏯᏛᎿ ᎦᎾᏄᎪᏨᎢ, ᎯᎠ ᎠᎴᏅᏔᏅ ᎤᏠᏯᏍᏛ ᏓᎧᏁᎲ (ᎤᏯᏅᎲ ᎯᎠ mycelium) ᏕᎬᏔᏛ ᎠᎴ hyphae.	tawoli kesə̃i kalə̃latit͡ɬə̃ katohi utatʰanə̃ akisti ajelə̃ na kesə̃i , tawelakiski atə̃histiskə̃ atə̃histoti nihi , uhə̃i usə̃toni ale alistulo . naə̃i kʰanekʷoə̃i , naski witujukotə̃ hia nikatə̃ nihi atə̃histiskə̃ hia utatʰanə̃ akisti ajelə̃ jatə̃hna kananukot͡sə̃i , hia alenə̃tʰanə̃ ut͡ɬojastə̃ takʰanehə̃ ujanə̃hə̃ hia maᶦsˈiːliʲəm tekə̃tʰatə̃ ale hˈaᶦfiː .
ᏥᏄᏍᏗ verb, "ᎠᎵᏍᏕᎸᏙᏗ ᎠᏕᎸ ᎬᏗ" ᎨᏒᎢ ᎠᏓᏁᎳᏁᏗ ᎠᏰᎵ ᏕᎠᎲ ᎾᏍᎩᎾᎢ ᏗᎦᎸᏫᏍᏓᏁᏗ.	t͡sinusti vˈɝb , alistelə̃toti atelə̃ kə̃ti kesə̃i atanelaneti ajeli teahə̃ naskinai tikalə̃wistaneti .
ᎠᏓᎾᏌᏁᏍᎩ (adanasanesgi) ᎨᏒᎢ ᏂᎦᎵᏍᏔᏂᏙᎲ ᏗᎬᏩᎶᏒ ᎦᏙ ᎤᏍᏗ ᏂᎦᏛ ᏓᎦᏘᎴᎦ ᎠᎦᏎᏍᏙᏗ ᎠᏂᏏᏴᏫᎭ ᏐᎢ. ᎪᎯᏊ ᎢᏴ ᏥᎩ ᏭᏚᎸᏛ ᎬᏙᏗ ᏄᏍᏛ ᎧᏃᎮᏗ ᎬᏗᏍᎬ ᎯᎠ ᎨᏅᏏᏔ, ᎠᎴ ᎯᎠ ᎤᏣᏘ ᏄᏦᏍᏛᎾ ᎢᏤ ᎢᏯᏛᏂ ᎤᏤᎵ ᏗᎧᎿᏩᏛᏍᏗ ᎢᎬᏩᎾᏓᎴᎩ ᏄᏓᎨᏒ ᏓᏓᏁᎳᏁ ᎤᎵᎶᎲᏍᎩ ᎾᎥᏂᎨ ᎡᎵᏍᏗ ᎭᏫᎾᏗᏢ ᎤᎪᏗᏗ ᏕᎦᎸᏛ ᎧᏁᏌᎢ.	atanasaneski ɑːd̬ɑːnɑːsənˈɛsɡi kesə̃i nikalistʰanitohə̃ tikə̃walosə̃ kato usti nikatə̃ takatʰileka akasestoti anisijə̃wiha soi . kohikʷu ijə̃ t͡siki wutulə̃tə̃ kə̃toti nustə̃ kʰanoheti kə̃tiskə̃ hia kenə̃sitʰa , ale hia ut͡satʰi nut͡sostə̃na it͡se ijatə̃ni ut͡seli tikʰahnawatə̃sti ikə̃wanataleki nutakesə̃ tatanelane ulilohə̃ski naə̃nike elisti hawinatit͡ɬə̃ ukotiti tekalə̃tə̃ kʰanesai .
ᏢᏓᏥ ᎤᏅᏣᏗ (Tlvdatsi unvtsadi; Panthera pardus). ᎡᏆ ᏅᎩᏗᎦᏅᏌᏗ ᏪᏌ ᏏᏓᏁᎸᎯ ᎡᎯ ᎠᎴ ᏓᎶᏂᎨ ᎠᎴ ᎬᏂᎨ ᎠᏑᏫᏓ ᏢᏓᏥ ᎤᏅᏓᏥ .	t͡ɬə̃tat͡si unə̃t͡sati tɫvdˈɑːtsi ənvtsˈeᶦd̬i , pʰˈænθəɹə pʰˈɑːɹd̬əs . ekʷa nə̃kitikanə̃sati wesa sitanelə̃hi ehi ale talonike ale kə̃nike asuwita t͡ɬə̃tat͡si unə̃tat͡si .
ᎡᏂᏗᏃ ᎤᏛᏛᏁ ᎤᏙᏓ ᎤᏍᏕᎸᏗᎢ ᎠᎴ ᎬᏩᎾᎵᎪᎯ ᏍᎪᎯᏥᏆ ᎯᏍᎩᏦᏁ ᎢᏯᏕᎸ ᏄᏂᏕ ᎠᏎᏍᏙᏗ ᎠᏴᏍᏙᏗ. ᎡᏂᏗᏃ ᎤᏪᏅᏎ ᎠᏕᎳ ᏧᏢ ᎧᎦᎵ ᎧᎳᏩᏗᏒ ᏐᏁᎳᏚ ᎢᏍᎪᎯᏥᏆ ᏔᎵᏍᎪ ᏧᏁᎳ ᎤᏕᏘᏴᏌᏗᏒ ᎤᎿ ᎤᎾᎵᎩ ᏐᏙᏗ ᎤᏂᎳᏦᏛ Ascot Parkway ᏧᏙᎢᏓ Los Angeles ᎨᏒᎢ.	enitino utə̃tə̃ne utota ustelə̃tii ale kə̃wanalikohi skohit͡sikʷa hiskit͡sone ijatelə̃ nunite asestoti ajə̃stoti . enitino uwenə̃se atela t͡sut͡ɬə̃ kʰakali kʰalawatisə̃ sonelatu iskohit͡sikʷa tʰalisko t͡sunela utetʰijə̃satisə̃ uhna unaliki sototi unilat͡sotə̃ ˈæskɑːt pʰˈɑːɹkweᶦ t͡sutoita lˈoᶷs ˈænd͡ʒəlɪs kesə̃i .
ᏗᎭᏄᎧᎯ (ᏗᏍᏔᏲᎯ) ᏓᏂᏍᏓᏲᎯᎲ ᏄᎵᏍᏔᏂᏩᏙᎸ. ᏗᏓᏁᏗ ᏗᎵᏲ-Ꮒ ᎠᏁᎭ ᎣᏍᏓ ᏗᏂᏲᏟ. ᏥᏃᏍᎦ ᎠᏁᎭ ᎤᏲᎢ ᏗᏂᏲᏟ. ᎤᏴᏢ ᎡᎯ. ᎦᏃᎯᎸᏒ ᏗᏓᎾᏏᏁᎩ ᎠᏓᏣᏁᎭ. ᎩᎦᎨᎢ ᎠᎵᏍᏇᏚᏬ ᎤᎵᏍᏚᎳ, ᎠᎴ ᎬᎿᎨ ᏗᎬᏩᎵᎭᏍᏗ ᏚᎳᏑᏝ. ᎾᏍᎦ ᎾᏍᏇ ᎾᏍᎦᏅᎾ Nicholas, Kris Kringle, ᎠᎴ ᎡᏙᏓ ᏓᏂᏍᏓᏲᎯᎲ ᎭᏞ ᏗᎭᏄᎧᎯ.	tihanukʰahi tistʰajohi tanistajohihə̃ nulistʰaniwatolə̃ . titaneti tilijo ni aneha osta tinijot͡ɬi . t͡sinoska aneha ujoi tinijot͡ɬi . ujə̃t͡ɬə̃ ehi . kanohilə̃sə̃ titanasineki atat͡saneha . kikakei aliskʷetuwo ulistula , ale kə̃hnake tikə̃walihasti tulasut͡ɬa . naska naskʷe naskanə̃na nˈɪkələs , kɹˈɪs kɹˈɪŋɡəɫ , ale etota tanistajohihə̃ hat͡ɬe tihanukʰahi .
ᎨᎾᏓ (ᎠᎦᎸᏥ ᎦᏬᏂᎯᏍᏗ, Canada) ᏙᏱᏗᏢ ᎦᏚᎲ ᏧᏴᏢ ᎠᎹᏰᎵ-Ꭿ. ᏂᎬᎢ 9,984,670 km². ᎾᏂᎥ ᏴᏫ 33,625,989. ᎠᏰᎵ ᏗᎦᎳᏫᎢᏍᏗ ᎦᏚᎲᎢ ᎠᏔᏩ. ᏄᎬᏫᏳᏌᏕᎩ, ᏧᏂᎸᏫᏍᏓᏁᏗ ᎨᎦᏓᏅᏖᎮᎯ ᎨᏒᎢ. ᏙᏬᏂᏙ ᎤᏔᏂᎢᏍᏗ ᎦᏚᎲᎢ ᏧᏴᏢ ᎠᎹᏰᎵ-Ꭿ.	kenata akalə̃t͡si kawonihisti , kʰˈænəd̬ə tojitit͡ɬə̃ katuhə̃ t͡sujə̃t͡ɬə̃ amajeli hi . nikə̃i sonela sonela t͡sanela nə̃ki sutali kalikʷoki notʰi kʰˈeᶦəm skwˈɛɹd . naniə̃ jə̃wi t͡soi t͡soi sutali tʰali hiski sonela t͡sanela sonela . ajeli tikalawiisti katuhə̃i atʰawa . nukə̃wijusateki , t͡sunilə̃wistaneti kekatanə̃tʰehehi kesə̃i . towonito utʰaniisti katuhə̃i t͡sujə̃t͡ɬə̃ amajeli hi .
TONMO.COM – The Octopus News Magazine Online	tʰˈoᶷnmoᶷ . kʰˈɑːm , ðˈə ˈɑːktəpʰˌʊs nˈuːz mˈæɡəzˌiːn ˈɔːnlaᶦn
Video showing an Octopus escaping through a 1 inch hole	vˈɪd̬iʲoᶷ ʃˈoᶷɪŋ ˈæn ˈɑːktəpʰˌʊs ɪskˈeᶦpɪŋ θɹˈuː ˈə sakʷu ˈɪnt͡ʃ hˈoᶷɫ
(ᎤᏍᏗ ᎤᏪᏴ ᎾᎥ yᏂᏍᎩᎴ ᎠᎨᏳᏣ ᎤᏥᏃ ᏓᎾᏎᎮᎲ ᎢᎬᏁᏗ ᎤᏃᏢᏗ ᏚᏯ ᎦᏚᎢ. ᏍᏈᏍᏗ ᏴᏫ	usti uwejə̃ naə̃ wˈaᶦ niskile akejut͡sa ut͡sino tanasehehə̃ ikə̃neti unot͡ɬə̃ti tuja katui . skʷisti jə̃wi
ᎠᏂᎩᎶᎯ ᏧᏂᏴᏫ (Anigilohi Tsuniyvwi) - ᎦᏅᎯᏓ ᎤᏂᏍᏘᎩ ᎨᏎᎢ, ᏧᏓᎴᏅᏓ	anikilohi t͡sunijə̃wi ənˌɪd͡ʒilˈoᶷhi tsuːnˈiːvwi kanə̃hita unistʰiki kesei , t͡sutalenə̃ta
ᎤᏕᏁᎢ. ᏍᎦᏚᎩᏁ ᏌᏧᏎᏗ ᎠᏃᏎᎰᎢ. Jacqueline Lee Bouvier Kennedy ᎭᏞ	utenei . skatukine sat͡suseti anosehoi . d͡ʒˈækwəlɪn lˈiː bˌuːviʲˈeᶦ kʰˈɛnəd̬i hat͡ɬe
ᏦᏍᎪᏑᏓᎵᏁ ᎤᎬᏫᏳᎯ Lyndon B. Johnson ᎭᏞ. ᏐᏁᎳᏚ ᎢᏍᎪᎯᏍᏆ ᏣᏁᎵᏁ	t͡soskosutaline ukə̃wijuhi lˈɪndən bˈiː . d͡ʒˈɑːnsən hat͡ɬe . sonelatu iskohiskʷa t͡saneline
Bloomer Ford ᎭᏞ ᎤᏍᏓᏴᎲᏍᎩ. ᏑᏓᎵᏍᎪ ᏌᏊ ᏳᏕᏘᏴᏓ ᎨᏎᎢ ᎤᎬᏫᏳ ᎤᏓᏴᏎᎳ.	blˈuːmɚ fˈɔːɹd hat͡ɬe ustajə̃hə̃ski . sutalisko sakʷu jutetʰijə̃ta kesei ukə̃wiju utajə̃sela .
ᎤᏕᏁᎢ. ᏍᎦᏚᎩ ᎤᏕᏅ ᏣᏥᏱ ᎠᏃᏎᎰᎢ. Rosalynn Smith Carter ᎭᏞ ᎤᏍᏓᏴᎲᏍᎩ.	utenei . skatuki utenə̃ t͡sat͡siji anosehoi . ɹˈoᶷzəlˌɪn smˈɪθ kʰˈɑːɹt̬ɚ hat͡ɬe ustajə̃hə̃ski .
ᏍᎦᏚᎩᏃ ᎤᏕᏅ ᎢᎵᏃᏱ ᎠᏃᏎᎰᎢ. Nancy Davis Reagan ᎭᏞ ᎤᏍᏓᏴᎲᏍᎩ. ᎦᎵᏊᏍᎪ	skatukino utenə̃ ilinoji anosehoi . nˈænsi dˈeᶦvəs ɹˈeᶦɡən hat͡ɬe ustajə̃hə̃ski . kalikʷusko
ᎾᏍᎪᎠᎬᏱᏁ ᎤᎬᏫᏳᎯ George H. W. Bush ᎭᏞ. ᏐᏁᎳᏚ ᎢᏍᎪᎯᏍᏆ ᏔᎵᏍᎪ ᏅᎨᏁ	naskoakə̃jine ukə̃wijuhi d͡ʒˈɔːɹd͡ʒ ˈeᶦt͡ʃ . dˈʌbəɫjuː . bˈʊʃ hat͡ɬe . sonelatu iskohiskʷa tʰalisko nə̃kene
ᎾᏍᎪᏔᎵ ᎤᎬᏫᏳᎯ Bill Clinton ᎭᏞ. ᏐᏁᎳᏚ ᎢᏍᎪᎯᏍᏆ ᏑᏓᎵᏍᎪ ᏑᏓᎵᏁ ᎤᏕᏁᎢ.	naskotʰali ukə̃wijuhi bˈɪɫ klˈɪntən hat͡ɬe . sonelatu iskohiskʷa sutalisko sutaline utenei .
ᎾᏍᎪᏦᎢᏁ ᎤᎬᏫᏳᎯ George W. Bush ᎭᏞ. ᏐᏁᎳᏚ ᎢᏍᎪᎯᏍᏆ ᎾᏍᎪᏑᏓᎵᏁ	naskot͡soine ukə̃wijuhi d͡ʒˈɔːɹd͡ʒ dˈʌbəɫjuː . bˈʊʃ hat͡ɬe . sonelatu iskohiskʷa naskosutaline
ᏱᏧᏕᏘᏴᏓ. ᎪᎯᏥᎩ ᏑᏓᎵᏍᎪᏦᎢ ᏳᏕᏘᏴᏓ. Republican Ꮒ. ᎤᏴᏜ.	jit͡sutetʰijə̃ta . kohit͡siki sutaliskot͡soi jutetʰijə̃ta . ɹᵻpʰˈʌblɪkən ni . ujə̃t͡ɬa .
ᏂᎵ ᎼᏔᏂ Adair ᎤᏛᏒᎯ. ᏥᏅ ᏧᎾᏕᎶᏆᏍᏗ ᏧᏕᎶᏆᎥᎢ. ᎡᎲ ᎢᎪᎯᏓ ᏗᎾᏕᎶᏆᏍᎩ ᏚᏍᏕᎸᎯᏙᎳ ᎠᎭᏂ ᎢᏁᏍᏳ ᎦᎸᎳᏗ ᏧᎾᏕᎶᏆᏍᏗᎢ. ᎩᎵᏏ ᏚᏕᏲᏅ ᎠᎴ ᏧᏔᏘᎿᎢ ᎢᏳᎵᏍᏔᏅ ᏏᎵᏪᎵ ᎠᎴ ᎢᏁᏍᏳ ᏧᎾᏕᎶᏆᏍᏗᎢ. ᎯᎠᏃ ᎾᏞᎬᏊ ᏥᎨᏒ ᎠᏂᏣᎳᎩᎯ ᏧᎾᏕᎶᏆᏍᏗ ᏣᎳᎩ ᎠᏰᎵ ᎤᏙᏢᏒ ᎤᎿ ᏚᏍᏕᎸᎯᏙᎳ. Patsy Eads Morton ᏧᏙᎢᏓ ᎤᎾᏁᎳᏓ ᎠᎴ ᎪᎯ ᏥᎩ ᎠᏏ ᎠᏂᏁᎳ ᎠᎴ ᎠᏂᏔᎵ ᎠᏂᎨᏳᏣ ᏚᎾᏛᎯᏍᏔᎾ ᎠᎴ ᏌᏊ ᎠᏧᏣ.	nili motʰani ədˈɛɹ utə̃sə̃hi . t͡sinə̃ t͡sunatelokʷasti t͡sutelokʷaə̃i . ehə̃ ikohita tinatelokʷaski tustelə̃hitola ahani inesju kalə̃lati t͡sunatelokʷastii . kilisi tutejonə̃ ale t͡sutʰatʰihnai ijulistʰanə̃ siliweli ale inesju t͡sunatelokʷastii . hiano nat͡ɬekə̃kʷu t͡sikesə̃ anit͡salakihi t͡sunatelokʷasti t͡salaki ajeli utot͡ɬə̃sə̃ uhna tustelə̃hitola . pʰˈætsi ˈiːdz mˈɔːɹt̬ən t͡sutoita unanelata ale kohi t͡siki asi aninela ale anitʰali anikejut͡sa tunatə̃histʰana ale sakʷu at͡sut͡sa .
Robinson, Prentice. Easy to Use Cherokee Dictionary. Tulsa: Cherokee Language and Culture, 1996.	ɹˈɑːbənsən , pɹˈɛntɪs . ˈiːzi tʰˈuː jˈuːs t͡ʃˈɛɹəkʰˌiː dˈɪkʃənˌɛɹi . tʰˈʌɫsə , t͡ʃˈɛɹəkʰˌiː lˈæŋɡwəd͡ʒ ˈənd kʰˈʌɫt͡ʃɚ , ijakajə̃li sonelaskohit͡sikʷa sonelasko sutali .
would indicate a professional proficiency of the English language, a native speaker of Swedish with an almost-native knowledge of Norwegian, advanced knowledge of Hebrew, an intermediate knowledge of Lithuanian, a basic knowledge of Spanish and no knowledge of Aragonese.	wˈʊd ˈɪndəkʰˌeᶦt ˈə pɹəfˈɛʃənəɫ pɹəfˈɪʃənsi ˈʌv ðˈə ˈɪŋɡlɪʃ lˈæŋɡwəd͡ʒ , ˈə nˈeᶦt̬ɪv spˈiːkɚ ˈʌv swˈiːd̬ɪʃ wˈɪð ˈæn ˈɔːɫmoᶷst nˈeᶦt̬ɪv nˈɑːləd͡ʒ ˈʌv nɔːɹwˈiːd͡ʒən , ədvˈænst nˈɑːləd͡ʒ ˈʌv hˈiːbɹuː , ˈæn ˌɪntɚmˈiːd̬iʲɪt nˈɑːləd͡ʒ ˈʌv lˌɪθəwˈeᶦniʲən , ˈə bˈeᶦsɪk nˈɑːləd͡ʒ ˈʌv spˈænɪʃ ˈənd nˈoᶷ nˈɑːləd͡ʒ ˈʌv əɹˈæɡənz .
