The Latin Library, Suetoni Tranquilli vita Divi Augusti	ˈtʰɛ ˈɫatɪn ˈlɪbrary , suˈɛtɔnɪ traŋˈkʷɪllɪ ˈwɪta ˈdɪwɪ au̯ˈɡʊstɪ
Bennett, Jeffrey, et al. 2010. Astronomie: Die kosmische Perspektive, ed. Harald Lesch, editio quinta. Monaci: Pearson Studium Verlag. ISBN 978-3-8273-7360-1.	ˈbɛnnɛtt , ˈjɛffrey , ˈɛt ˈaɫ . ˈduɔ ˈmiːlia ˈdɛkẽː . astrɔˈnɔmiɛ , ˈdiɛ kɔsˈmɪskʰɛ pɛrsˈpɛktɪwɛ , ˈɛd . ˈharaɫd ˈɫɛskʰ , ɛˈdɪtiɔ ˈkʷɪnta . ˈmɔnakɪ , peˈarsɔn sˈtʊdiũː ˈwɛrɫaɡ . ˈɪsbn noːŋˈɡɛntiː duɔdeːɔktoːˈɡɪntaː ˈtreːs ˈɔktoː ˈmiːlia dʊˈkɛntiː sɛptuaːˈɡɪntaː ˈtreːs ˈsɛptẽː ˈmiːlia trɛˈkɛntiː sɛksaːˈɡɪntaː ˈuːnʊs .
Brooke-Hitching, Edward. 2020. Der Atlas des Himmels:. Eine kleine Geschichte der Astronomie." Coinvertit Lutz-W. Wolff. Monaci: Knesebeck Verlag. ISBN 978-3-95728-424-2.	ˈbroɔkɛ ˈhɪtkʰɪŋɡ , ˈɛdward . ˈduɔ ˈmiːlia wiːˈɡɪntiː . ˈdɛr ˈatɫas ˈdɛs ˈhɪmmɛɫs . ˈeɪnɛ ˈkɫeɪnɛ ɡɛsˈkʰɪkʰtɛ ˈdɛr astrɔˈnɔmiɛ . koɪnˈwɛrtɪt ˈɫʊtz w . ˈwɔɫff . ˈmɔnakɪ , kˈnɛsɛbɛkk ˈwɛrɫaɡ . ˈɪsbn noːŋˈɡɛntiː duɔdeːɔktoːˈɡɪntaː ˈtreːs noːnaːˈɡɪntaː ˈkʷiːŋkʷɛ ˈmiːlia sɛptɪŋˈɡɛntiː duɔdeːtriːˈɡɪntaː kʷadrɪŋˈɡɛntiː wiːˈɡɪntiː ˈkʷattuɔr ˈduɔ .
Forbes, George. 1909. History of Astronomy. Londinii: Plain Label Books. ISBN 1603031596. Propositum Gutenbergense. Google Books.	ˈfɔrbɛs , ɡeˈɔrɡɛ . ˈmiːllɛ noːŋˈɡɛntiː ˈnɔwẽː . ˈhɪstɔry ˈɔf asˈtrɔnɔmy . ɫɔnˈdɪniɪ , ˈpɫaɪn ˈɫabɛɫ ˈboɔks . ˈɪsbn miːlliˈardũː sɛsˈkɛntiː ˈtreːs miːlliˈoːneːs triːˈɡɪntaː ˈuːna ˈmiːlia kʷiːŋˈɡɛntiː noːnaːˈɡɪntaː ˈsɛks . prɔˈpɔsɪtũː ɡʊtɛnbɛrˈɡẽːsɛ . ˈɡoɔɡɫɛ ˈboɔks .
Freedman, R. A., et W. J. Kaufmann. 2004. Universe. Freeman Novi Eboraci. ISBN 0-7167-9884-0.	freˈɛdman , r . ˈa , ˈɛt w . j . ˈkau̯fmann . ˈduɔ ˈmiːlia ˈkʷattuɔr . ʊnɪˈwɛrsɛ . ˈfreɛman ˈnɔwɪ ɛˈbɔrakɪ . ˈɪsbn ˈnɪhɪɫ ˈsɛptẽː ˈmiːlia ˈkɛntũː sɛksaːˈɡɪntaː ˈsɛptẽː ˈnɔwẽː ˈmiːlia ɔktɪŋˈɡɛntiː ɔktoːˈɡɪntaː ˈkʷattuɔr ˈnɪhɪɫ .
Hanslmeier, Arnold. 2007. Einführung in Astronomie und Astrophysik. Berolini: Spektrum Akademische Verlag. ISBN 978-3-8274-1846-3.	hãːsɫˈmɛjjɛr , ˈarnɔɫd . ˈduɔ ˈmiːlia ˈsɛptẽː . eĩːˈfuhrʊŋɡ ˈɪn astrɔˈnɔmiɛ ˈʊnd asˈtrɔpʰysɪk . bɛˈrɔlɪnɪ , sˈpɛktrũː akadɛˈmɪskʰɛ ˈwɛrɫaɡ . ˈɪsbn noːŋˈɡɛntiː duɔdeːɔktoːˈɡɪntaː ˈtreːs ˈɔktoː ˈmiːlia dʊˈkɛntiː sɛptuaːˈɡɪntaː ˈkʷattuɔr ˈmiːllɛ ɔktɪŋˈɡɛntiː kʷadraːˈɡɪntaː ˈsɛks ˈtreːs .
Harpaz, Amos. 1994. Stellar Evolution. A. K. Peters, Ltd. ISBN 9781568810126. Google Books.	ˈharpaz , ˈamɔs . ˈmiːllɛ noːŋˈɡɛntiː noːnaːˈɡɪntaː ˈkʷattuɔr . sˈtɛllar ɛwɔˈɫʊtiɔn . ˈa . k . ˈpɛtɛrs , ɫtd . ˈɪsbn ˈnɔwẽː ˈmiːlia sɛptɪŋˈɡɛntiː ɔktoːˈɡɪntaː ˈuːnʊs miːlliˈarda kʷiːŋˈɡɛntiː duɔdeːsɛptuaːˈɡɪntaː miːlliˈoːneːs ɔktɪŋˈɡɛnta ˈdɛkẽː ˈmiːlia ˈkɛntũː wiːˈɡɪntiː ˈsɛks . ˈɡoɔɡɫɛ ˈboɔks .
Divisio, operatio inversa multiplicationis, ut 6/3 = 2	dɪˈwɪsiɔ , ɔpɛˈratiɔ ɪnˈwɛrsa mʊɫtɪplɪkaˈtiɔnɪs , ˈʊt ˈsɛks ˈtreːs ˈduɔ
Quod residuus non est 0, scimus 5 non exacte dividit 73. Debemus fractionem facere: 73 = 5 × 14 + 3, aut 73 = 5 × (14 3/5). Possumus fractionem aliter exprimere si algorithmum pergimus. Semper licet cifras addere post separatorem decimalem, quod 73, 73.0, 73.00, et caetera omnes eundem numerem nominant. Adde ergo:	ˈkʷɔd rɛˈsɪduʊs ˈnɔn ˈɛst ˈnɪhɪɫ , sˈkɪmʊs ˈkʷiːŋkʷɛ ˈnɔn ɛkˈsaktɛ ˈdɪwɪdɪt sɛptuaːˈɡɪntaː ˈtreːs . ˈdɛbɛmʊs frakˈtiɔnẽː ˈfakɛrɛ , sɛptuaːˈɡɪntaː ˈtreːs ˈkʷiːŋkʷɛ kʷattuˈɔrdɛkĩː ˈtreːs , ˈau̯t sɛptuaːˈɡɪntaː ˈtreːs ˈkʷiːŋkʷɛ kʷattuˈɔrdɛkĩː ˈtreːs ˈkʷiːŋkʷɛ . ˈpɔssʊmʊs frakˈtiɔnẽː ˈalɪtɛr ɛksˈprɪmɛrɛ ˈsɪ aɫɡɔˈrɪtʰmũː ˈpɛrɡɪmʊs . ˈsɛmpɛr ˈlɪkɛt ˈkɪfras ˈaddɛrɛ ˈpɔst sɛpaˈratɔrẽː dɛˈkɪmaɫẽː , ˈkʷɔd sɛptuaːˈɡɪntaː ˈtreːs , sɛptuaːˈɡɪntaː ˈtreːs . ˈnɪhɪɫ , sɛptuaːˈɡɪntaː ˈtreːs . ˈnɪhɪɫ , ˈɛt ˈkae̯tɛra ˈɔmnɛs eˈʊndẽː ˈnʊmɛrẽː ˈnɔmɪnant . ˈaddɛ ˈɛrɡɔ ,
Exempli gratia, 1/2 = 2/4 = 3/6 = 4/8 = 5/10. 1/2 est reducta, aliae non sunt. 1/3 = 2/6 = 3/9 = 4/12. 2/5 = 4/10 = 6/15 = 8/20.	ɛkˈsɛmplɪ ˈɡratia , ˈuːnʊs ˈduɔ ˈduɔ ˈkʷattuɔr ˈtreːs ˈsɛks ˈkʷattuɔr ˈɔktoː ˈkʷiːŋkʷɛ ˈdɛkẽː . ˈuːnʊs ˈduɔ ˈɛst rɛˈdʊkta , ˈaliae̯ ˈnɔn ˈsʊnt . ˈuːnʊs ˈtreːs ˈduɔ ˈsɛks ˈtreːs ˈnɔwẽː ˈkʷattuɔr duˈɔdɛkĩː . ˈduɔ ˈkʷiːŋkʷɛ ˈkʷattuɔr ˈdɛkẽː ˈsɛks ˈkʷiːndɛkĩː ˈɔktoː wiːˈɡɪntiː .
Si numerator maior est quam denominator, valor fractionis maior est quam 1; si numerator aequat denominatori, fractio est 1. Hoc est, 2/2 = 1, vel 9/9 = 1. Et 3/2 > 1: 3/2 = 1/2 + 1/2 + 1/2 = 1 + 1/2.	ˈsɪ nʊˈmɛratɔr ˈmajjɔr ˈɛst ˈkʷãː dɛnɔˈmɪnatɔr , ˈwaɫɔr frakˈtiɔnɪs ˈmajjɔr ˈɛst ˈkʷãː ˈuːnʊs , ˈsɪ nʊˈmɛratɔr ˈae̯kʷat dɛnɔmɪˈnatɔrɪ , ˈfraktiɔ ˈɛst ˈuːnʊs . ˈhɔk ˈɛst , ˈduɔ ˈduɔ ˈuːnʊs , ˈwɛɫ ˈnɔwẽː ˈnɔwẽː ˈuːnʊs . ˈɛt ˈtreːs ˈduɔ ˈuːnʊs , ˈtreːs ˈduɔ ˈuːnʊs ˈduɔ ˈuːnʊs ˈduɔ ˈuːnʊs ˈduɔ ˈuːnʊs ˈuːnʊs ˈduɔ .
Ut fractiones addas vel subtrahas, si eosdem denominatores habent, adde (vel subtrahe) numeratores. Si eosdem denominatores non habent, debes eis dare antequam licet numeratores addere. Exemplum: 1/3 + 1/3 = 2/3. Si eosdem denominatores non habent, multiplica numeratorem et denominatorem alterius fractionis per alterius denominatorem:	ˈʊt frakˈtiɔnɛs ˈaddas ˈwɛɫ ˈsʊptrahas , ˈsɪ eˈɔsdẽː dɛnɔmɪˈnatɔrɛs ˈhabɛnt , ˈaddɛ ˈwɛɫ ˈsʊptrahɛ nʊmɛˈratɔrɛs . ˈsɪ eˈɔsdẽː dɛnɔmɪˈnatɔrɛs ˈnɔn ˈhabɛnt , ˈdɛbɛs ˈeɪs ˈdarɛ ˈantɛkʷãː ˈlɪkɛt nʊmɛˈratɔrɛs ˈaddɛrɛ . ɛkˈsɛmpɫũː , ˈuːnʊs ˈtreːs ˈuːnʊs ˈtreːs ˈduɔ ˈtreːs . ˈsɪ eˈɔsdẽː dɛnɔmɪˈnatɔrɛs ˈnɔn ˈhabɛnt , mʊɫˈtɪplɪka nʊmɛˈratɔrẽː ˈɛt dɛnɔmɪˈnatɔrẽː aɫˈtɛriʊs frakˈtiɔnɪs ˈpɛr aɫˈtɛriʊs dɛnɔmɪˈnatɔrẽː ,
Numeri rationales scribuntur vel per fractiones vel per decimales. Exempli gratia, 1/5 = 0.2. Ut fractionem in decimalem formam convertas, modo divide: 1/5 = 1 ÷ 5	ˈnʊmɛrɪ ratiˈɔnaɫɛs skrɪˈbʊntʊr ˈwɛɫ ˈpɛr frakˈtiɔnɛs ˈwɛɫ ˈpɛr dɛˈkɪmaɫɛs . ɛkˈsɛmplɪ ˈɡratia , ˈuːnʊs ˈkʷiːŋkʷɛ ˈnɪhɪɫ . ˈduɔ . ˈʊt frakˈtiɔnẽː ˈɪn dɛˈkɪmaɫẽː ˈfɔrmãː kɔnˈwɛrtas , ˈmɔdɔ ˈdɪwɪdɛ , ˈuːnʊs ˈkʷiːŋkʷɛ ˈuːnʊs ˈkʷiːŋkʷɛ
Si denominator nullos factores habet nisi 5 et 2 (fortasse plus quam semel), divisio finiet et numerus decimalis quantitatem finitem digitorum habebit. Si alios factores habet, divisio numquam finiet, sed periodum habebit. Exempli gratia, 1/3 = 0.333... usque ad infinitatem.	ˈsɪ dɛnɔˈmɪnatɔr ˈnʊllɔs ˈfaktɔrɛs ˈhabɛt ˈnɪsɪ ˈkʷiːŋkʷɛ ˈɛt ˈduɔ fɔrˈtassɛ ˈpɫʊs ˈkʷãː ˈsɛmɛɫ , dɪˈwɪsiɔ ˈfɪniɛt ˈɛt ˈnʊmɛrʊs dɛˈkɪmalɪs kʷanˈtɪtatẽː ˈfɪnɪtẽː dɪˈɡɪtɔrũː ˈhabɛbɪt . ˈsɪ ˈaliɔs ˈfaktɔrɛs ˈhabɛt , dɪˈwɪsiɔ ˈnʊmkʷãː ˈfɪniɛt , ˈsɛd pɛˈriɔdũː ˈhabɛbɪt . ɛkˈsɛmplɪ ˈɡratia , ˈuːnʊs ˈtreːs ˈnɪhɪɫ . trɛˈkɛntiː triːˈɡɪntaː ˈtreːs . ˈʊskʷɛ ˈad ĩːfɪˈnɪtatẽː .
DeLong, E. F., et N. R. Pace. 2001. "Environmental diversity of bacteria and archaea." Systematic Biology 50, no. 4 (Augustus): 470–78. PMID 12116647. doi:10.1080/106351501750435040. Citeseerx 10.1.1.321.8828.	ˈdɛɫɔŋɡ , ˈɛ . f , ˈɛt n . r . ˈpakɛ . ˈduɔ ˈmiːlia ˈuːnʊs . ɛnwɪrɔnˈmɛntaɫ dɪˈwɛrsɪty ˈɔf bakˈtɛria ˈand arˈkʰae̯a . sysˈtɛmatɪk biˈɔɫɔɡy kʷiːŋkʷaːˈɡɪntaː , ˈnɔ . ˈkʷattuɔr au̯ˈɡʊstʊs , kʷadrɪŋˈɡɛntiː sɛptuaːˈɡɪntaː , duɔdeːɔktoːˈɡɪntaː . pˈmɪd duˈɔdɛkĩː miːlliˈoːneːs ˈkɛntũː ˈseːdɛkĩː ˈmiːlia sɛsˈkɛntiː kʷadraːˈɡɪntaː ˈsɛptẽː . ˈdoɪ , ˈdɛkẽː . ˈmiːllɛ ɔktoːˈɡɪntaː ˈuːnʊs ˈnɪhɪɫ ˈsɛks ˈtreːs ˈkʷiːŋkʷɛ ˈuːnʊs ˈkʷiːŋkʷɛ ˈnɪhɪɫ ˈuːnʊs ˈsɛptẽː ˈkʷiːŋkʷɛ ˈnɪhɪɫ ˈkʷattuɔr ˈtreːs ˈkʷiːŋkʷɛ ˈnɪhɪɫ ˈkʷattuɔr ˈnɪhɪɫ . kɪˈtɛseɛrks ˈdɛkẽː . ˈuːnʊs . ˈuːnʊs . trɛˈkɛntiː wiːˈɡɪntiː ˈuːnʊs . ˈɔktoː ˈmiːlia ɔktɪŋˈɡɛntiː duɔdeːtriːˈɡɪntaː .
Subtractio inversa est additionis. Si vis subtrahere 13 - 7, quia scis 7 + 6 = 13, responsum est 6: 13 - 7 = 6. Ut numeros maiores subtrahas, algorithmo simile utere:	sʊpˈtraktiɔ ɪnˈwɛrsa ˈɛst addɪˈtiɔnɪs . ˈsɪ ˈwɪs sʊpˈtrahɛrɛ ˈtrɛdɛkĩː , ˈsɛptẽː , kʷˈja sˈkɪs ˈsɛptẽː ˈsɛks ˈtrɛdɛkĩː , rɛsˈpõːsũː ˈɛst ˈsɛks , ˈtrɛdɛkĩː , ˈsɛptẽː ˈsɛks . ˈʊt ˈnʊmɛrɔs ˈmajjɔrɛs ˈsʊptrahas , aɫɡɔˈrɪtʰmɔ ˈsɪmɪɫɛ ˈʊtɛrɛ ,
Et quotiens 2 metitur 6? 3; scribimus "3" supra "6." Responsum ergo est 43. 86 ÷ 2 = 43, et scimus responsum rectum esse quod 43 × 2 = 86.	ˈɛt ˈkʷɔtiẽːs ˈduɔ ˈmɛtɪtʊr ˈsɛks ? ˈtreːs , sˈkrɪbɪmʊs ˈtreːs ˈsʊpra ˈsɛks . rɛsˈpõːsũː ˈɛrɡɔ ˈɛst kʷadraːˈɡɪntaː ˈtreːs . ɔktoːˈɡɪntaː ˈsɛks ˈduɔ kʷadraːˈɡɪntaː ˈtreːs , ˈɛt sˈkɪmʊs rɛsˈpõːsũː ˈrɛktũː ˈɛssɛ ˈkʷɔd kʷadraːˈɡɪntaː ˈtreːs ˈduɔ ɔktoːˈɡɪntaː ˈsɛks .
Plures figuras, scilicet, eodem modo inveniuntur. Quod 232.3² = 232.3 × 232.3 = 53963.29, responsum habemus fere correctum, etiamsi non exactum.	ˈpɫʊrɛs ˈfɪɡʊras , sˈkɪlɪkɛt , ˈeɔdẽː ˈmɔdɔ ɪnwɛniˈʊntʊr . ˈkʷɔd dʊˈkɛntiː triːˈɡɪntaː ˈduɔ . ˈtreːs ˈduɔ dʊˈkɛntiː triːˈɡɪntaː ˈduɔ . ˈtreːs dʊˈkɛntiː triːˈɡɪntaː ˈduɔ . ˈtreːs kʷiːŋkʷaːˈɡɪntaː ˈtria ˈmiːlia noːŋˈɡɛntiː sɛksaːˈɡɪntaː ˈtreːs . uːndeːtriːˈɡɪntaː , rɛsˈpõːsũː ˈhabɛmʊs ˈfɛrɛ kɔrˈrɛktũː , ɛtiˈãːsɪ ˈnɔn ɛkˈsaktũː .
Si omnes numeros D(20P + D) addes, par potestates 10 2X multiplicatos, quadratum habebis radicis: 40000 + 12900 + 924 + 139.29 = 53963.29 = 232.3².	ˈsɪ ˈɔmnɛs ˈnʊmɛrɔs d wiːˈɡɪntiː p d ˈaddɛs , ˈpar pɔˈtɛstatɛs ˈdɛkẽː ˈduɔ ks mʊɫtɪˈplɪkatɔs , ˈkʷadratũː ˈhabɛbɪs ˈradɪkɪs , kʷadraːˈɡɪntaː ˈmiːlia duˈɔdɛkĩː ˈmiːlia noːŋˈɡɛntiː noːŋˈɡɛntiː wiːˈɡɪntiː ˈkʷattuɔr ˈkɛntũː uːndeːkʷadraːˈɡɪntaː . uːndeːtriːˈɡɪntaː kʷiːŋkʷaːˈɡɪntaː ˈtria ˈmiːlia noːŋˈɡɛntiː sɛksaːˈɡɪntaː ˈtreːs . uːndeːtriːˈɡɪntaː dʊˈkɛntiː triːˈɡɪntaː ˈduɔ . ˈtreːs ˈduɔ .
Steenkamp, E. T., J. Wright, et S. L. Baldauf. 2006. "The Protistan Origins of Animals and Fungi." Molecular Biology and Evolution 23: 93–106.	steˈɛŋkamp , ˈɛ . t , j . ˈwrɪɡht , ˈɛt s . ɫ . ˈbaɫdau̯f . ˈduɔ ˈmiːlia ˈsɛks . ˈtʰɛ prɔˈtɪstan ˈɔrɪɡĩːs ˈɔf ˈanɪmaɫs ˈand ˈfʊŋɡɪ . mɔˈɫɛkʊɫar biˈɔɫɔɡy ˈand ɛwɔˈɫʊtiɔn wiːˈɡɪntiː ˈtreːs , noːnaːˈɡɪntaː ˈtreːs , ˈkɛntũː ˈsɛks .
