á	a³¹
ǹg-sâng	n̩¹¹ saŋ⁴⁴
ńg-sṳ̍p-ńg	n̩³¹ səp̚⁵ n̩³¹
ńg-sṳ̍p-ngi	n̩³¹ səp̚⁵ ŋi⁵³
ǹg-thòng	n̩¹¹ tʰɔŋ¹¹
ńg-tiám	n̩³¹ tiam³¹
ǹg-yèn	n̩¹¹ ian¹¹
ngà-chhiâm	ŋa¹¹ t͡ɕʰiam⁴⁴
ngà-chhṳ́	ŋa¹¹ t͡sʰz̩³¹
ngà-kâu	ŋa¹¹ kau⁴⁴
ngà-kiok	ŋa¹¹ kiɔk̚¹
ngá-sak	ŋa³¹ sak̚¹
ngâ-tién	ŋa³¹ tiɛn³¹
ngà-vòng	ŋa¹¹ ʋɔŋ¹¹
ngài-tén	ŋaɪ¹¹ tɛn⁴⁴
ngài-tên-ngìn	ŋaɪ¹¹ tɛn⁴⁴⁻³⁵ ŋin¹¹
ngài-têu-ngìn	ŋaɪ¹¹ teu⁴⁴⁻³⁵ ŋin¹¹
ngám-thèu	ŋam⁵³⁻⁵⁵ tʰeu¹¹
ngang-chhàng	ŋaŋ⁵³⁻⁵⁵ t͡sʰaŋ¹¹
ngat-chhat	ŋat̚¹ t͡sʰat̚¹
ngat-kúi	ŋat̚¹ kuɪ³¹
ngàu-ya	ŋau¹¹ ia⁵³
ngí-chû-é	ŋi³¹ t͡su⁴⁴⁻³⁵ ʋe³¹
ngî-fap	ŋi⁴⁴⁻³⁵ fap̚¹
ngì-hó	ŋi¹¹ hau³¹
ngí-kûng	ŋi³¹ kʊŋ⁴⁴
ngí-lûng	ŋi³¹ lʊŋ⁴⁴
ngî-ngièn	ŋi⁴⁴⁻³⁵ ŋian¹¹
ngi-ngie̍t	ŋi⁵³ ŋiat̚⁵
ngí-sṳ́	ŋi³¹ sz̩³¹
ngi-sṳ̍p	ŋi⁵³ səp̚⁵
ngi-sṳ̍p-chhit	ŋi⁵³ səp̚⁵ t͡ɕʰit̚¹
ngi-sṳ̍p-kiú	ŋi⁵³ səp̚⁵ kiu³¹
ngi-sṳ̍p-liuk	ŋi⁵³ səp̚⁵ liʊk̚¹
ngi-sṳ̍p-ńg	ŋi⁵³ səp̚⁵ n̩³¹
ngi-sṳ̍p-ngi	ŋi⁵³ səp̚⁵ ŋi⁵³
ngi-sṳ̍p-pat	ŋi⁵³ səp̚⁵ pat̚¹
ngi-sṳ̍p-sâm	ŋi⁵³ səp̚⁵ sam⁴⁴
ngi-sṳ̍p-si	ŋi⁵³ səp̚⁵ ɕi⁵³
ngi-sṳ̍p-yit	ŋi⁵³ səp̚⁵ it̚¹
ngî-vùn	ŋi⁴⁴⁻³⁵ ʋun¹¹
ngia̍k-fûng	ŋiak̚⁵ fʊŋ⁴⁴
ngiak-kok	ŋiak̚¹ kɔk̚¹
ngiam-fu̍t	tiam⁵³ fut̚⁵
ngiâm-khiêu	ŋiam⁴⁴ kʰeu⁴⁴
ngiam-kîn	ŋiam⁵³ kin⁴⁴
ngiàm-ngiàm-kiap-kiap	ŋiam¹¹ ŋiam¹¹ kiap̚⁵ kiap̚⁵
ngiàm-sà-é	iam¹¹ sa¹¹ (ʋ)e³¹
ngiàm-sṳ̀	ŋiam¹¹ sz̩¹¹
ngiam-thèu	ŋiam⁵³⁻⁵⁵ tʰeu¹¹
ngián-chû	ŋian³¹ t͡su⁴⁴
ngián-kiang	ŋian³¹ kiaŋ⁵³
ngián-kiang-sà	ŋian³¹ kiaŋ⁵³⁻⁵⁵ sa¹¹
ngiap-muk	ŋiap̚⁵ mʊk̚¹
ngiap-yáng	ŋiap̚⁵ iaŋ³¹
ngiap-yáng-kî	ŋiap̚¹ iaŋ³¹ ki⁴⁴
ngiau-pu	ŋiau⁵³⁻⁵⁵ pu⁵³
ngiau-su	ŋiau⁵³⁻⁵⁵ sz̩⁵³
ngie-kûng	ni⁴⁴ kʊŋ⁴⁴
ngie-pán	ne⁵³⁻⁵⁵ pan³¹
ngièn-chhû-yit	ŋian¹¹ t͡sʰz̩⁴⁴⁻³⁵ it̚¹
ngièn-ki	ŋian¹¹ ki³¹
ngiên-kiu	ŋan⁴⁴ kiu⁴⁴
ngièn-lìn	ŋian¹¹ lin¹¹
ngièn-mî	ŋian¹¹ mi⁴⁴
ngièn-sâm-sṳ̍p	ŋian¹¹ sam⁴⁴ səp̚⁵
ngièn-sêu-chiet	ŋian¹¹ ɕiau⁴⁴⁻³⁵ t͡ɕiɛt̚¹
ngièn-tái	ŋian¹¹ taɪ³¹
ngièn-thèu	ŋian¹¹ tʰeu¹¹
ngièn-thoi	ŋian¹¹ tʰoɪ⁵³
ngien-yi	ŋian⁵³⁻⁵⁵ i⁵³
ngie̍t-fà	ŋiat̚⁵ fa¹¹
ngie̍t-kap-é	ŋiat̚⁵ kap̚¹ pe³¹
ngie̍t-kông	ŋiat̚⁵ kuɔŋ⁴⁴
ngie̍t-kông-tai-làn	ŋiat̚⁵ kuɔŋ⁴⁴⁻³⁵ taɪ⁵³⁻⁵⁵ lan¹¹
ngie̍t-oi	ŋiat̚⁵ oɪ⁵³
ngie̍t-piáng	ŋiat̚⁵ piaŋ³¹
ngie̍t-sa̍t	ŋiat̚⁵ sət̚⁵
ngie̍t-thiên	ŋiat̚⁵ tʰiɛn⁴⁴
ngìn-chûng	ŋin¹¹ t͡sʊŋ⁴⁴
ngìn-hak	ŋin¹¹ hak̚¹
ngìn-kâ	ŋin¹¹ ka⁴⁴
ngìn-khiéu	ŋin¹¹ kʰeu³¹
ngìn-li̍t-chhâ	ŋin¹¹ lit̚⁵ t͡sʰa⁴⁴
ngìn-lui	ŋin¹¹ luɪ⁵³
ngìn-mìn	ŋin¹¹ min¹¹
ngìn-sân-ngìn-hói	ŋin¹¹ san⁴⁴⁻³⁵ ŋin¹¹ hoɪ³¹
ngìn-sú	ŋin¹¹ su³¹
ngin-sṳt	ŋin⁵³⁻⁵⁵ sət̚¹
ngìn-vu̍t	ŋin¹¹ ʋut̚⁵
ngiok-mô-chhùng	ŋiɔk̚¹ mau⁴⁴⁻³⁵ t͡sʰʊŋ¹¹
ngio̍k-thai	ŋiɔk̚¹ tʰoɪ⁵³
ngióng-é	ŋiɔŋ⁵³⁻⁵⁵ ŋe³¹
ngiong-kat-sat	ŋiɔŋ⁵³⁻⁵⁵ kat̚¹ sat̚¹
ngióng-pân	ŋiɔŋ³¹ pan⁴⁴
ngiong-theu-fu	ŋiɔŋ⁵³⁻⁵⁵ tʰeu⁵³⁻⁵⁵ fu⁵³
ngi̍p-hi	ŋip̚⁵ hi⁵³
ngi̍p-liam	ŋip̚⁵ liam⁵³
ngi̍p-lòi	ŋip̚⁵ loɪ¹¹
ngi̍p-vuk	ŋip̚⁵ ʋʊk̚¹
ngit-é	ŋit̚¹ te³¹
ngit-ngit	ŋit̚¹ ŋit̚¹
ngit-sòng	ŋit̚¹ sɔŋ¹¹
ngit-sṳ̀-thèu	ŋit̚¹ sz̩¹¹ tʰeu¹¹
ngit-sṳ̍t	ŋit̚¹ sət̚⁵
ngit-thèu	ŋit̚¹ tʰeu¹¹
ngit-thèu-sî	ŋit̚¹ tʰeu¹¹ ɕi⁴⁴
ngiù-ak	ŋiu¹¹ ak̚¹
ngiù-kîn	ŋiu¹¹ kin⁴⁴
ngiù-kú	ŋiu¹¹ ku³¹
ngiù-mà	ŋiu¹¹ ma¹¹
ngiù-nen	ŋiu¹¹ nɛn⁵³
ngiù-ngián-é	ŋiu¹¹ ŋian³¹ ne³¹
ngiù-ngién	ŋiu¹¹ ŋian³¹
ngiù-ngién-kôn	ŋiu¹¹ ŋian³¹ kɔn⁴⁴
ngiù-ngiuk	ŋiu¹¹ ŋiʊk̚¹
ngiù-pak-ya̍p	ŋiu¹¹ pak̚¹ iap̚⁵
ngiuk-chung-chung-è	ŋiʊk̚¹ t͡sʊŋ⁵³⁻⁵⁵ t͡sʊŋ⁵³⁻⁵⁵ ŋe³¹
ngiu̍k-sa̍k	ŋiʊk̚⁵ sak̚⁵
ngiuk-set	ŋiʊk̚¹ sɛt̚¹
ngiuk-sṳ̂n	ŋiʊk̚¹ sən⁴⁴
ngiùn-chṳ́	ŋiun¹¹ t͡sz̩³¹
ngiùn-hòng	ŋiun¹¹ hɔŋ¹¹
ngò-kûng	ŋo¹¹ kʊŋ⁴⁴
ngò-lò-sṳ̂	ŋo¹¹ lo¹¹ sz̩⁴⁴
ngò-mà	ŋo¹¹ ma¹¹
ngô-mùn	ŋo⁴⁴⁻³⁵ mun¹¹
ngo-poi	ŋoɪ⁵³⁻⁵⁵ poɪ⁵³
ngòan-phì	ŋan¹¹ pʰi¹¹
ngoi-â-kûng	ŋoɪ⁵³ a⁴⁴ kʊŋ⁴⁴
ngoi-â-phò	ŋoɪ⁵³ a⁴⁴⁻³⁵ pʰo¹¹
ngoi-kâ	ŋoɪ⁵³ ka⁴⁴
ngoi-koet-ngìn	ŋoɪ⁵³⁻⁵⁵ kuɛt̚¹ ŋin¹¹
ngoi-mien	ŋoɪ⁵³⁻⁵⁵ miɛn⁵³
ngoi-ngìn	ŋoɪ⁵³⁻⁵⁵ ŋin¹¹
ngoi-sên-é	ŋoɪ⁵³ sɛn⁴⁴⁻³⁵ ne³¹
ngoi-sên-ńg	ŋoɪ⁵³ sɛn⁴⁴⁻³⁵ n̩³¹
ngoi-sṳ	ŋoɪ⁵³⁻⁵⁵ sz̩⁵³
ngoi-sûn	ŋoɪ⁵³ sun⁴⁴
ngoi-sûn-ńg	ŋoɪ⁵³ sun⁴⁴⁻³⁵ n̩³¹
ngo̍k-fu	ŋɔk̚⁵ fu⁵³
ngo̍k-ya	ŋɔk̚⁵ ia⁵³
ngùi-hiám	ŋuɪ¹¹ hiam³¹
niú-yok	neu³¹ iɔk̚¹
no-mí	no⁵³⁻⁵⁵ mi³¹
nó-sin	nau³¹ ɕim⁵³
nó-sṳ́	nau³¹ sz̩³¹
nôn-fù	nɔn⁴⁴⁻³⁵ fu¹¹
nù-li	nu¹¹ le⁵³
ô-li	o⁴⁴⁻³⁵ li⁵³
ô-li-koat-tú	o⁴⁴⁻³⁵ li⁵³⁻⁵⁵ kuat̚¹ tu³¹
ô-li-ô-tú	o⁴⁴⁻³⁵ li⁵³ o⁴⁴⁻³⁵ tu³¹
ô-li-tú	o⁴⁴⁻³⁵ li⁵³⁻⁵⁵ tu³¹
o-mùn	au⁵³⁻⁵⁵ mun¹¹
ô-nga-é	o⁵³⁻⁵⁵ ŋa¹¹ (ʋ)e³¹
ô-ngiau	o⁴⁴⁻³⁵ ŋiau⁵³
ô-sṳ́	o⁴⁴⁻³⁵ sz̩³¹
ô-sṳ́-m̀-chhut-yen-chû-mà	o⁴⁴⁻³⁵ sz̩³¹ m̩¹¹ t͡sʰut̚¹ ian⁵³ t͡su⁴⁴⁻³⁵ ma¹¹
oi-chhìn	oɪ⁵³⁻⁵⁵ t͡ɕʰin¹¹
ôi-é	oɪ⁴⁴⁻³⁵ e³¹
ôi-khiù	oɪ⁴⁴⁻³⁵ kʰiu¹¹
ôn-chhin	ɔn⁴⁴⁻³⁵ t͡ɕʰin⁵³
ôn-chhiòn	ɔn⁴⁴⁻³⁵ t͡ɕʰiɛn¹¹
ôn-fî	ɔn⁴⁴ fi⁴⁴
ôn-lo̍k	ɔn⁴⁴ lɔk̚⁵
ôn-miàng	ɔn⁴⁴⁻³⁵ miaŋ¹¹
ôn-phài	ɔn⁴⁴⁻³⁵ pʰaɪ¹¹
pâ-chóng	pa⁴⁴⁻³⁵ t͡sɔŋ³¹
pâ-kî-sṳ̂-thán	pa⁴⁴ ki⁴⁴ sz̩⁴⁴⁻³⁵ tʰan³¹
pâ-kiet	pa⁴⁴⁻³⁵ t͡ɕiat̚¹
pâ-put-tet	pa⁴⁴⁻³⁵ put̚¹ tət̚¹
pâ-sî	pa⁴⁴ ɕi⁴⁴
pa-vi	pa⁵³⁻⁵⁵ ʋi⁵³
pai-kî	pʰaɪ⁵³ ki⁴⁴
pâi-kiok-é	paɪ⁴⁴⁻³⁵ kiɔk̚¹ e³¹
pai-ngi	paɪ⁵³⁻⁵⁵ ŋi⁵³
pai-thòng	paɪ⁵³⁻⁵⁵ tʰɔŋ¹¹
pai-yit	paɪ⁵³⁻⁵⁵ it̚¹
pak-kûng	pak̚¹ kʊŋ⁴⁴
pak-mê	pak̚¹ me⁴⁴
pak-phò	pak̚¹ pʰo¹¹
pan-hàm-thâm	pan⁵³⁻⁵⁵ ham¹¹ tʰam⁴⁴
pân-kiêu	pan⁴⁴ keu⁴⁴
pan-kûng-mà	pan⁵³ kʊŋ⁴⁴⁻³⁵ ma¹¹
pan-thúng-súi	pan⁵³⁻⁵⁵ tʰʊŋ³¹ suɪ³¹
pân-vuk	pan⁴⁴⁻³⁵ ʋʊk̚¹
pan-ya	pan⁵³⁻⁵⁵ ia⁵³
pâng-sok-é	paŋ⁴⁴⁻³⁵ sɔk̚¹ e³¹
pa̍t-é	pat̚⁵ te³¹
pat-ngie̍t	pat̚¹ ŋiat̚⁵
pat-ngie̍t-pan	pat̚¹ ŋiat̚⁵ pan⁵³
pat-sṳ̍p-kiú	pat̚¹ səp̚⁵ kiu³¹
pat-tiám	pat̚¹ tiam³¹
pâu-é	pau⁴⁴⁻³⁵ ʋe³¹
pâu-siuk	pau⁴⁴⁻³⁵ ɕiʊk̚¹
pâu-yî	pau⁴⁴ i⁴⁴
pên-siông	pɛn⁴⁴ ɕiɔŋ⁴⁴
pên-thòng	pɛn⁴⁴⁻³⁵ tʰɔŋ¹¹
pet-fûng	pɛt̚¹ fʊŋ⁴⁴
pet-kîn	pɛt̚¹ kin⁴⁴
pet-phién	pɛt̚¹ pʰiɛn³¹
péu-chí-moi	piau³¹ t͡sz̩³¹ moɪ⁵³
péu-hiûng-ti	piau³¹ hiʊŋ⁴⁴⁻³⁵ tʰi⁵³
péu-kô	piau³¹ ko⁴⁴
péu-sṳ	piau³¹ sz̩⁵³
phà-hí	pʰa¹¹ hi³¹
phà-hí-lài	pʰa¹¹ hi³¹ loɪ¹¹
phà-hí-sṳ̂n	pʰa¹¹ hi³¹ sən⁴⁴
phà-sân	pʰa¹¹ san⁴⁴
phai-é	kʰuaɪ⁵³⁻⁵⁵ e³¹
phai-kâ-chṳ́	pʰaɪ⁵³ ka⁴⁴⁻³⁵ t͡sz̩³¹
phài-khiù	pʰaɪ¹¹ kʰiu¹¹
phài-kut	pʰaɪ¹¹ kut̚¹
pha̍k-chhoi	pʰak̚⁵ t͡sʰoɪ⁵³
pha̍k-ho̍k	pʰak̚⁵ hɔk̚⁵
pha̍k-koet	pʰak̚⁵ kuɛt̚¹
pha̍k-lu	pʰak̚⁵ lu⁵³
pha̍k-ngò-lò-sṳ̂	pʰak̚⁵ ŋo¹¹ lo¹¹ sz̩⁴⁴
phàn-é	pʰan¹¹ ne³¹
phan-fap	pʰan⁵³⁻⁵⁵ fap̚¹
phan-kûng-sṳt	pʰan⁵³ kʊŋ⁴⁴⁻³⁵ sət̚¹
phàn-son	pʰan¹¹ sɔn⁵³
phâng-kôi-sà	pʰaŋ⁴⁴ koɪ⁴⁴⁻³⁵ sa¹¹
phau-yí	pʰau⁵³⁻⁵⁵ i³¹
phèn-yû	pʰɛn¹¹ iu⁴⁴
phe̍t-kó	pʰak̚⁵ kuo³¹
phe̍t-ngìn	pʰiɛt̚⁵ ŋin¹¹
phêu-chún	piau⁴⁴⁻³⁵ t͡sun³¹
phêu-chún-fa	piau⁴⁴⁻³⁵ t͡sun³¹ fa⁵³
phèu-é	pʰiau¹¹ ʋe³¹
phêu-thì	piau⁴⁴⁻³⁵ tʰi¹¹
phi-fun	pʰi⁵³⁻⁵⁵ fun⁵³
phì-hài	pʰi¹¹ haɪ¹¹
phi-kháu	pʰi⁵³⁻⁵⁵ kʰau³¹
phi-khien	pʰi⁵³⁻⁵⁵ kʰian⁵³
phi-ko	pʰi⁴⁴⁻³⁵ kau⁵³
phi-kûng	pʰi⁵³ kʊŋ⁴⁴
phi-kûng-fut	pʰi⁵³ kʊŋ⁴⁴⁻³⁵ fut̚¹
phì-liau	pʰi¹¹ liau⁵³
phi-lón	pʰi⁵³⁻⁵⁵ lɔn³¹
phi-on	pʰi⁵³⁻⁵⁵ ɔn⁵³
phì-phà	pʰi¹¹ pʰa¹¹
phi-sṳ́	pʰi⁵³⁻⁵⁵ sz̩³¹
phi-súi	pʰi⁵³⁻⁵⁵ suɪ³¹
phî-tân	pʰi⁴⁴ tan⁴⁴
phiang-ngìn	pʰiaŋ⁵³⁻⁵⁵ ŋin¹¹
phiang-thu̍k	pʰiaŋ⁵³ tʰʊk̚⁵
phiàng-yòng	pʰiaŋ¹¹ iɔŋ¹¹
phien-é	pʰiɛn⁵³⁻⁵⁵ ne³¹
phièn-ngì	pʰiɛn¹¹ ŋin¹¹
phiên-phòng	pʰiɛn⁴⁴⁻³⁵ pʰɔŋ¹¹
phién-sak	pʰiɛn³¹ sak̚¹
phín-kîm	pʰin⁵³ kim⁴⁴
phìn-kó	pʰin¹¹ kuo³¹
phìn-ôn	pʰin¹¹ ɔn⁴⁴
phin-phong	pin⁴⁴ pɔŋ⁴⁴
phìn-sòng	pʰin¹¹ sɔŋ¹¹
phìn-sṳ̀	pʰin¹¹ sz̩¹¹
phìn-tho	pʰin¹¹ tʰau⁵³
phi̍t-phò-é	pʰɛt̚⁵ pʰo¹¹ (ʋ)e³¹
phit-yí	pʰit̚¹ i³¹
phò-pha̍k	pʰo¹¹ pʰak̚⁵
phò-thai	pʰo¹¹ tʰaɪ⁵³
phok-sú	pʰɔk̚¹ su³¹
phôn-hiat	pʰɔn⁴⁴⁻³⁵ hiat̚¹
phòng-kông	pʰɔŋ¹¹ kuɔŋ⁴⁴
phòng-piên	pʰɔŋ¹¹ piɛn⁴⁴
phu-chṳ́	pʰu⁵³⁻⁵⁵ t͡sz̩³¹
phû-é	pʰu⁴⁴⁻³⁵ ʋe³¹
phu-mùn	pʰu⁵³⁻⁵⁵ mun¹¹
phù-sat	pʰu¹¹ sat̚¹
phù-thièn	pʰu¹¹ tʰiɛn¹¹
phù-thò	pʰu¹¹ tʰau¹¹
phù-thò-ngà	pʰu¹¹ tʰau¹¹ ŋa¹¹
phû-thûng	pʰu⁴⁴ tʰʊŋ⁴⁴
phû-thûng-fa	pʰu⁴⁴ tʰʊŋ⁴⁴⁻³⁵ fa⁵³
phûng-é	fʊŋ⁴⁴⁻³⁵ ŋe³¹
phûng-la̍p	fʊŋ⁴⁴⁻³⁵ lap̚¹
phûng-teu	fʊŋ⁴⁴⁻³⁵ teu⁵³
phûng-thòng	fʊŋ⁴⁴⁻³⁵ tʰɔŋ¹¹
phûng-vòng	fʊŋ⁴⁴⁻³⁵ ʋɔŋ¹¹
pi-é	pi⁵³⁻⁵⁵ ie³¹
pî-é	pi⁴⁴⁻³⁵ ie³¹
pí-li-sṳ̀	pi³¹ li⁵³⁻⁵⁵ sz̩¹¹
pi-me̍t	pi⁵³ mɛt̚⁵
pî-sa̍k	pi⁴⁴ sak̚⁵
pí-soi	pi³¹ soɪ⁵³
pî-sông	pi⁴⁴ sɔŋ⁴⁴
pî-thèu	pi⁴⁴⁻³⁵ tʰeu¹¹
pî-thòng	pi⁴⁴⁻³⁵ tʰɔŋ¹¹
piên-si̍p	pʰiɛn⁴⁴ ɕip̚⁵
pîn-hi	pin⁴⁴⁻³⁵ hi⁵³
pîn-lòng	pin⁴⁴⁻³⁵ lɔŋ¹¹
pîn-yàng	pin⁴⁴⁻³⁵ iaŋ¹¹
piông-é	piɔŋ⁴⁴⁻³⁵ ŋe³¹
piong-ho̍k	fɔŋ⁵³ hɔk̚⁵
piong-súi	piɔŋ⁵³⁻⁵⁵ suɪ³¹
pit-ngia̍p	pit̚¹ ŋiap̚⁵
pit-yeu	pit̚¹ iau⁵³
pó-chhṳ̀	pau³¹ t͡sʰz̩¹¹
po-chṳ́	pau⁵³⁻⁵⁵ t͡sz̩³¹
pó-chṳn	pau³¹ t͡sən⁵³
pó-fu	pau³¹ fu⁵³
po-ko	pau⁵³⁻⁵⁵ kau⁵³
pô-làn	po⁴⁴⁻³⁵ lan¹¹
poi-mî	poɪ⁵³ mi⁴⁴
poi-nòng	poɪ⁵³⁻⁵⁵ nɔŋ¹¹
pok-phì	pɔk̚¹ pʰi¹¹
pông-chhu	pɔŋ⁴⁴⁻³⁵ t͡sʰz̩⁵³
pông-mòng	pɔŋ⁴⁴⁻³⁵ mɔŋ¹¹
pot-at	fat̚¹ at̚¹
pot-chong	pɔt̚¹ t͡sɔŋ⁵³
pot-chṳ́	pɔt̚¹ t͡sz̩³¹
pot-lâng	fat̚¹ laŋ⁴⁴
pot-mung	pɔt̚¹ mu⁵³
pot-phiang	pɔt̚¹ pʰiaŋ⁵³
pot-sâ	pɔt̚¹ sa⁴⁴
pot-thai-súi	pɔt̚¹ tʰaɪ⁵³⁻⁵⁵ suɪ³¹
pot-tiên	pɔt̚¹ tiɛn⁴⁴
pot-vûn	pɔt̚¹ ʋun⁴⁴
pu-hài	pu⁵³⁻⁵⁵ haɪ¹¹
pú-thèu	pu³¹ tʰeu¹¹
puk-koa	pʊk̚¹ kua⁵³
pún-chhièn	pun³¹ t͡ɕʰiɛn¹¹
pun-kî	pʰun⁵³ ki⁴⁴
pún-liâng	pun³¹ liaŋ⁴⁴
pún-lòi	pun³¹ loɪ¹¹
pún-ngìn	pun³¹ ŋin¹¹
pún-sṳ	pun³¹ sz̩⁵³
put-chiuk	put̚¹ t͡ɕiʊk̚¹
put-chṳn	put̚¹ t͡saŋ⁵³
put-ko	put̚¹ kuo⁵³
put-ló	put̚¹ lau³¹
put-mìn	put̚¹ min¹¹
put-nèn	put̚¹ nɛn¹¹
put-yèn	put̚¹ ian¹¹
sa-fi	sa⁴⁴⁻³⁵ fi⁵³
sà-kô	sa¹¹ ko⁴⁴
sâ-pa	sa⁴⁴⁻³⁵ pa⁵³
sà-sà	sa¹¹ sa¹¹
sâ-thân	sa⁴⁴ tʰan⁴⁴
sâ-thú	sa⁴⁴⁻³⁵ tʰu³¹
sài-kiéu	saɪ¹¹ keu³¹
sài-lòng	saɪ¹¹ lɔŋ¹¹
sa̍k-fôi	sak̚⁵ foɪ⁴⁴
sa̍k-kâ-chông	sak̚⁵ ka⁴⁴ t͡sɔŋ⁴⁴
sa̍k-liù-é	sak̚⁵ leu¹¹ ʋe³¹
sa̍k-sṳ	sak̚⁵ sz̩⁵³
sa̍k-than	sak̚⁵ tʰan⁵³
sa̍k-thèu	sak̚⁵ tʰeu¹¹
sa̍k-ton	sak̚⁵ tun³¹
sâm-chhiu	sam⁴⁴⁻³⁵ t͡ɕʰiu⁵³
sàm-é	sam¹¹ me³¹
sâm-fu	sam⁴⁴⁻³⁵ fu⁵³
sâm-fu̍k	sam⁴⁴ fʊk̚⁵
sâm-kâng-pan-ya	sam⁴⁴ kaŋ⁴⁴⁻³⁵ pan⁵³⁻⁵⁵ ia⁵³
sâm-liâng	sam⁴⁴ liaŋ⁴⁴
sâm-liâng-é	sam⁴⁴ liaŋ⁴⁴⁻³⁵ ŋe³¹
sâm-lin-chhâ	sam⁴⁴⁻³⁵ lun¹¹ t͡sʰa⁴⁴
sâm-ngie̍t	sam⁴⁴ ŋiat̚⁵
sàm-phù-lò	t͡sʰam¹¹ t͡sʰu¹¹ lo¹¹
sâm-put-sṳ̀	sam⁴⁴⁻³⁵ put̚¹ sz̩¹¹
sám-sî	sam³¹ ɕi⁴⁴
sâm-sîm-lióng-yi	sam⁴⁴ ɕim⁴⁴⁻³⁵ liɔŋ³¹ i⁵³
sâm-sṳ̍p	sam⁴⁴ səp̚⁵
sâm-sṳ̍p-kiú	ɕi⁵³ səp̚⁵ kiu³¹
sâm-thèu-lióng-ngit	sam⁴⁴⁻³⁵ tʰeu¹¹ liɔŋ³¹ ŋit̚¹
sâm-tiám	sam⁴⁴⁻³⁵ tiam³¹
sân-chû	san⁴⁴ t͡su⁴⁴
san-é	san⁵³⁻⁵⁵ ne³¹
sân-hâng	san⁴⁴ haŋ⁴⁴
san-ho̍k	san⁵³ hɔk̚⁵
sân-kô	san⁴⁴ ko⁴⁴
sân-lùng	san⁴⁴⁻³⁵ lʊŋ¹¹
sán-ngia̍p	san³¹ ŋiap̚⁵
sân-sî	san⁴⁴ ɕi⁴⁴
san-sṳ	san⁵³⁻⁵⁵ sz̩⁵³
sân-táng	san⁴⁴⁻³⁵ taŋ³¹
sân-tûng	san⁴⁴ tʊŋ⁴⁴
sàng-ha-é	saŋ¹¹ ha⁵³⁻⁵⁵ (ʋ)e³¹
sâng-hi	saŋ⁴⁴⁻³⁵ hi⁵³
sâng-lón	saŋ⁴⁴⁻³⁵ lɔn³¹
sâng-lû	saŋ⁴⁴ lu⁴⁴
sâng-mô	saŋ⁴⁴ mau⁴⁴
sâng-ngit	saŋ⁴⁴⁻³⁵ ŋit̚¹
sâng-ngit-khoai-lo̍k	saŋ⁴⁴⁻³⁵ ŋit̚¹ kʰuaɪ⁵³ lɔk̚⁵
sàng-sṳ	saŋ¹¹ sz̩⁵³
sa̍t-mà	sat̚⁵ ma¹¹
sat-mâng	sat̚¹ maŋ⁴⁴
se-â-kô-é	se⁵³ a⁴⁴ ko⁴⁴⁻³⁵ (ʋ)e³¹
se-ap-é	se⁵³⁻⁵⁵ ap̚¹ pe³¹
sé-chhâ	se³¹ t͡sʰa⁴⁴
se-kû	se⁵³ ku⁴⁴
sè-lò-é	se¹¹ lo¹¹ (ʋ)e³¹
se-lòng	se⁵³⁻⁵⁵ lɔŋ¹¹
sè-mén-tò	sz̩⁵³ mɛn⁴⁴⁻³⁵ tʰu³¹
se-mì	se⁵³⁻⁵⁵ mi¹¹
sé-mí	se³¹ mi³¹
sé-mien	se³¹ mian⁵³
se-moi-é	se⁵³⁻⁵⁵ moɪ⁵³⁻⁵⁵ e³¹
se-ngìn-è	se⁵³⁻⁵⁵ ŋin¹¹ ne³¹
se-ngiù-é	se⁵³⁻⁵⁵ ŋiu¹¹ ʋe³¹
se-ngò-é	se⁵³⁻⁵⁵ ŋo¹¹ (ʋ)e³¹
se-sâng	se⁵³ saŋ⁴⁴
se-sîm-khiû-é	se⁵³ ɕim⁴⁴ kʰiu⁴⁴⁻³⁵ ʋe³¹
sé-sú	se³¹ su³¹
sé-sṳ̂n	se³¹ sən⁴⁴
sé-sṳ̂n-é	se³¹ sən⁴⁴⁻³⁵ ne³¹
se-yí	se⁵³⁻⁵⁵ i³¹
sên-chhi	sɛn⁴⁴⁻³⁵ t͡ɕʰi⁵³
sên-é	sɛn⁴⁴⁻³⁵ ne³¹
sên-é-sia-sṳ́	sɛn⁴⁴⁻³⁵ ne³¹ ɕia⁵³⁻⁵⁵ sz̩³¹
sên-fa̍t	sɛn⁴⁴ fat̚⁵
sên-khì	sən⁴⁴⁻³⁵ kʰi¹¹
sên-lî	ɕiɛn⁴⁴ li⁴⁴
sén-sàng	sɛn³¹ saŋ¹¹
sên-vu̍t	sɛn⁴⁴ ʋut̚⁵
set-é	sɛt̚¹ te³¹
set-mà	sɛt̚¹ ma¹¹
séu-chhú	ɕiau³¹ t͡sʰu³¹
sêu-fó	sau⁴⁴⁻³⁵ fo³¹
sêu-hiông	sau⁴⁴ hiɔŋ⁴⁴
séu-ho̍k	ɕiau³¹ hɔk̚⁵
séu-ho̍k-sên	ɕiau³¹ hɔk̚⁵ saŋ⁴⁴
séu-hòn	ɕiau³¹ hɔn¹¹
seu-kau	ɕiau⁵³⁻⁵⁵ kʰau⁵³
séu-lòng	ɕiau³¹ lɔŋ¹¹
sêu-mai	sau⁴⁴⁻³⁵ maɪ⁵³
séu-mân	ɕiau³¹ man⁴⁴
