# Hebrew (he) pronunciation lexicon — skeleton (unvocalized) <TAB> niqqud (vocalized). A LOOKUP layer for the
# Phase-A wordlist: a Hebrew Wikipedia frequency ranking (hewiki dump, CC-BY-SA — ranking only; the niqqud
# content is Phonikud output validated by ReNikud, both CC-BY — see tools/hebrew/build-lexicon.py).
# neural path: a known skeleton renders via phonemizeWord(niqqud) — i.e. through OUR g2p, so it auto-tracks our
# canonical convention (the glottal rule etc.). OOV words + HOMOGRAPHS fall through to the context tagger.
# Built (tools/hebrew/build-lexicon.py): Phonikud's diacritization of the frequency list, VALIDATED where our
# g2p rendering of it agrees with ReNikud (audio-supervised), with homograph skeletons EXCLUDED (left to the
# tagger's context). Net-positive on BOTH referees — human Nakdimon holdout 86.5→87.8, independent gt.tsv
# 64.8→66.7. Eval-validated; the niqqud is a reading only (rendered through our convention, never PK's IPA).
של	שֶׁל
התיאטרון	הַתֵּיאַטְרוֹן
לתוך	לְתוֹך
פרנק	פְרַנְק
נבנה	נִבְנֶה
למשך	לְמֶשֶׁך
הקדוש	הַקָּדוֹשׁ
להביא	לְהָבִיא
גשר	גֶּשֶׁר
רוח	רוּחַ
הקבוצות	הַקְּבוּצוֹת
נהרגו	נֶהֶרְגוּ
קצת	קְצָת
להקים	לְהָקִים
תולדות	תּוֹלְדוֹת
שלטון	שִׁלְטוֹן
מקסיקו	מֶקְסִיקוֹ
רכבת	רַכֶּבֶת
הקיבוץ	הַקִּיבּוּץ
עלתה	עָלְתָה
לעולם	לְעוֹלָם
קולומביה	קוֹלוֹמְבִּיָה
עברי	עִבְרִי
סי	סִי
להתמודד	לְהִתְמוֹדֵד
אנה	אָנָה
יצאו	יָצְאוּ
ניסה	נִיסָּה
מודל	מוֹדֵל
המזרח	הַמִּזְרָח
ביצוע	בִּיצּוּעַ
גורם	גּוֹרֵם
הצבאית	הַצְּבָאִית
הייתי	הָיִיתִי
הידוע	הַיָּדוּעַ
בליגת	בְּלִיגַת
נא	נָא
הספרים	הַסְּפָרִים
השישי	הַשִּׁישִּׁי
אצטדיון	אִצְטַדְיוֹן
שלנו	שֶׁלָּנוּ
נמוך	נָמוּך
מדע	מַדָּע
הבריטים	הַבְּרִיטִים
גורמים	גּוֹרְמִים
כוכבים	כּוֹכָבִים
תנועה	תְּנוּעָה
חברתית	חֶבְרָתִית
הוציאה	הוֹצִיאָה
הדרומי	הַדְּרוֹמִי
קוריאה	קוֹרֵיאָה
כראש	כְּרֹאשׁ
אמן	אָמֵן
בירת	בִּירַת
נודע	נוֹדַע
אות	אוֹת
מחקרים	מֶחְקָרִים
האישה	הָאִישָּׁה
פרסום	פִּרְסוּם
מהירות	מְהִירוּת
להשיג	לְהַשִּׂיג
זוגות	זוּגוֹת
ספורטאים	סְפּוֹרְטָאִים
עבודתו	עֲבוֹדָתוֹ
כעת	כָּעֵת
פרטים	פְּרָטִים
הקרקע	הַקַּרְקַע
גלריה	גָּלֶרְיָה
ניהול	נִיהוּל
תורת	תּוֹרַת
הנסיך	הַנָּסִיך
טרור	טֵרוֹר
מבלי	מִבְּלִי
יהיו	יִהְיוּ
מראש	מֵרֹאשׁ
צרפתים	צָרְפָתִים
מארק	מַארְק
אוקראינה	אוּקְרָאִינָה
מרי	מְרִי
סגנון	סִגְנוֹן
כחבר	כְּחָבֵר
צבאית	צְבָאִית
לחץ	לַחַץ
נפטרים	נִפְטָרִים
אוסקר	אוֹסְקֶר
ברוסיה	בְּרוּסְיָה
פרידריך	פְרִידְרִיך
הזאת	הַזֹּאת
עוסק	עוֹסֵק
ינואר	יָנוּאָר
המערכה	הַמַּעֲרָכָה
להבין	לְהָבִין
לאפשר	לְאַפְשֵׁר
הבתים	הַבָּתִּים
ייצור	יִיצּוּר
ציבורית	צִיבּוּרִית
אזרחים	אֶזְרָחִים
קבלת	קַבָּלַת
עבודות	עֲבוֹדוֹת
הפכו	הָפְכוּ
איגוד	אִיגּוּד
בעלה	בַּעֲלָהּ
נחל	נַחַל
רומניה	רוֹמַנְיָה
המשתמש	הַמִּשְׁתַּמֵּשׁ
השונות	הַשּׁוֹנוֹת
שש	שֵׁשׁ
הנאצית	הַנָּאצִית
הפעם	הַפַּעַם
טל	טַל
מכוניות	מְכוֹנִיּוֹת
למעט	לְמַעֵט
מזכיר	מַזְכִּיר
הרוסי	הָרוּסִי
קורות	קוֹרוֹת
המין	הַמִּין
צפיפות	צְפִיפוּת
הכללית	הַכְּלָלִית
אמיר	אָמִיר
חוף	חוֹף
לילה	לַיְלָה
גבול	גְּבוּל
קטע	קֶטַע
נקבע	נִקְבַּע
הלבן	הַלָּבָן
דרכו	דַּרְכּוֹ
מפיק	מֵפִיק
נהרג	נֶהֱרַג
זרים	זָרִים
יה	יָה
מגדל	מִגְדָּל
וזכה	וְזָכָה
שאתה	שֶׁאַתָּה
סימן	סִימָן
כמובן	כַּמּוּבָן
מציע	מַצִּיעַ
דצמבר	דֵּצֶמְבֶּר
וזאת	וְזֹאת
עבודת	עֲבוֹדַת
התפתחות	הִתְפַּתְּחוּת
קריירת	קַרְיֵירֶת
ספינות	סְפִינוֹת
האחרים	הָאֲחֵרִים
בסיום	בְּסִיּוּם
הלא	הַלֹא
נשוי	נָשׂוּי
אנו	אָנוּ
אישית	אִישִׁית
קיסר	קֵיסָר
וחצי	וָחֵצִי
השידור	הַשִּׁידּוּר
המזרחית	הַמִּזְרָחִית
קטנות	קְטַנּוֹת
הצטרפו	הִצְטָרְפוּ
בטוח	בָּטוּחַ
ביקורות	בִּיקּוֹרוֹת
להקמת	לַהֲקָמַת
המטוס	הַמָּטוֹס
מבט	מַבָּט
אבו	אַבּוּ
אנרגיה	אֵנֶרְגִּיָּה
מתחיל	מַתְחִיל
מורה	מוֹרֶה
להשתתף	לְהִשְׁתַּתֵּף
מלאה	מְלֵאָה
יוסי	יוֹסִי
נושאים	נוֹשְׂאִים
הזמרת	הַזַּמֶּרֶת
מנהיג	מַנְהִיג
בולטים	בּוֹלְטִים
מכירות	מְכִירוֹת
להופיע	לְהוֹפִיעַ
לוס	לוּס
הסביבה	הַסְּבִיבָה
סופרים	סוֹפְרִים
מינית	מִינִית
צרפתי	צָרְפָתִי
המחלקה	הַמַּחְלָקָה
קיבלו	קִיבְּלוּ
סיוע	סִיּוּעַ
ילד	יֶלֶד
להגן	לְהָגֵן
נובמבר	נוֹבֶמְבֶּר
ברמת	בְּרָמַת
יושב	יוֹשֵׁב
נפתח	נִפְתַּח
דיסני	דִּיסְנִי
רומן	רוֹמָן
הטובים	הַטּוֹבִים
הוצאה	הוֹצָאָה
סוריה	סוּרְיָה
ספטמבר	סֶפְּטֶמְבֶּר
אריאל	אֲרִיאֵל
מופיעה	מוֹפִיעָה
ניצחה	נִיצְּחָה
בכתב	בִּכְתָב
ניתוח	נִיתּוּחַ
האינטרנט	הָאִינְטֶרְנֶט
מתן	מַתָן
השירות	הַשֵּׁירוּת
שפת	שְׂפַת
התנגדות	הִתְנַגְּדוּת
חוקרים	חוֹקְרִים
דב	דֹּב
הצדדים	הַצְּדָדִים
סיבה	סִיבָּה
יגאל	יִגְאָל
גידול	גִּידּוּל
הדברים	הַדְּבָרִים
לסייע	לְסַיֵּיעַ
קטגוריות	קָטֵגוֹרְיוֹת
איתו	אִיתּוֹ
אדמה	אֲדָמָה
טורקיה	טוּרְקִיָּה
פברואר	פֶבְּרוּאָר
עורכים	עוֹרְכִים
כיתוב	כִּיתּוּב
מאמן	מְאַמֵּן
בגין	בֵּגִין
יונה	יוֹנָה
דרכים	דְּרָכִים
מקרים	מִקְרִים
מקס	מַקְס
מכיל	מֵכִיל
השלום	הַשָּׁלוֹם
מכאן	מִכָּאן
כלשהו	כׇּלְשֶׁהוּ
כתוב	כָּתוּב
מושל	מוֹשֵׁל
כדורסלני	כַּדּוּרְסַלָנִי
נשאר	נִשְׁאַר
במועדון	בַּמּוֹעֲדוֹן
מקבל	מְקַבֵּל
אמת	אֱמֶת
בצרפתית	בְּצָרְפָתִית
מסכים	מַסְכִּים
הפרויקט	הַפְּרוֹיֵקְט
הדמויות	הַדְּמוּיוֹת
נובל	נוֹבֵּל
תיכון	תִּיכוֹן
שניהם	שְׁנֵיהֶם
הבמה	הַבָּמָה
קשת	קֶשֶׁת
הצלחה	הַצְלָחָה
לימוד	לִימּוּד
סיני	סִינַי
אתרים	אֲתָרִים
ההר	הַהָר
השביעי	הַשְּׁבִיעִי
אישור	אִישּׁוּר
עצמי	עַצְמִי
בספרו	בְּסִפְרוֹ
שניים	שְׁנַיִים
גרסת	גִּרְסַת
מדריד	מַדְרִיד
התבנית	הַתַּבְנִית
מצוי	מָצוּי
צריכה	צְרִיכָה
אירלנד	אִירְלַנְד
מאמר	מַאֲמָר
קסון	קָסוֹן
הודיעה	הוֹדִיעָה
לחקר	לְחֵקֶר
בהשתתפות	בְּהִשְׁתַּתְּפוּת
עצמאי	עַצְמָאִי
אחוז	אָחוּז
דפים	דַּפִּים
לדרגת	לְדַרְגַּת
תחרויות	תַּחֲרוּיוֹת
הסנאט	הַסֵּנָאט
מבחינת	מִבְּחִינַת
המקדש	הַמִּקְדָּשׁ
להיכנס	לְהִיכָּנֵס
תמורת	תְּמוּרַת
המלכה	הַמַּלְכָּה
שליטה	שְׁלִיטָה
ההופעות	הַהוֹפָעוֹת
הרוח	הָרוּחַ
ביטחון	בִּיטָּחוֹן
נערכו	נֶעֶרְכוּ
העלילה	הָעֲלִילָה
הפארק	הַפַּארְק
הדת	הַדָּת
רגל	רֶגֶל
הביא	הֵבִיא
בכורה	בְּכוֹרָה
הציבורי	הַצִּיבּוּרִי
הגדולות	הַגְּדוֹלוֹת
הציור	הַצִּיּוּר
עמק	עֵמֶק
נפוץ	נָפוֹץ
מחנה	מַחֲנֶה
עיבוד	עִיבּוּד
טרם	טֶרֶם
קליפ	קְלִיפּ
אמנם	אׇמְנָם
לטיפול	לְטִיפּוּל
מעשה	מַעֲשֶׂה
ארגונים	אִרְגּוּנִים
באיטליה	בְּאִיטַלְיָה
מהמאה	מֵהַמֵּאָה
ציבור	צִיבּוּר
כיבוש	כִּיבּוּשׁ
ביצע	בִּיצֵּעַ
מתאים	מַתְאִים
שהוקמו	שֶׁהוּקְמוּ
קוד	קוֹד
שימשה	שִׁימְּשָׁה
מחיקה	מְחִיקָה
מצעד	מִצְעַד
שבהן	שֶׁבָּהֶן
מלחמות	מִלְחָמוֹת
שלהן	שֶׁלָּהֶן
סיפורים	סִיפּוּרִים
פיליפ	פִילִיפּ
המודרנית	הַמּוֹדֶרְנִית
למדה	לָמְדָה
אליהם	אֲלֵיהֶם
מציג	מַצִּיג
כבד	כָּבֵד
האנשים	הָאֲנָשִׁים
ברוך	בָּרוּך
הכוכבים	הַכּוֹכָבִים
עירוני	עִירוֹנִי
למוזיקה	לְמוּזִיקָה
שיגור	שִׁיגּוּר
ויקי	וִיקִי
מצליח	מַצְלִיחַ
שזכה	שֶׁזָּכָה
הזמנים	הַזְּמַנִּים
הלילה	הַלַּיְלָה
נישא	נִישָּׂא
מפעיל	מַפְעִיל
בתים	בָּתִּים
כלכלית	כַּלְכָּלִית
סביר	סָבִיר
כרך	כֶּרֶךְ
להשאיר	לְהַשְׁאִיר
החלטה	הַחְלָטָה
בסביבות	בַּסְבִיבוֹת
שנקרא	שֶׁנִּקְרָא
מדוע	מַדּוּעַ
הונגרים	הוּנְגָּרִים
פגיעה	פְּגִיעָה
לחימה	לְחִימָה
מצא	מָצָא
שבט	שֶׁבֶט
הקו	הַקַו
טבעי	טִבְעִי
האב	הָאָב
צופים	צוֹפִים
להציג	לְהַצִּיג
הסיבה	הַסִּיבָּה
ענף	עֲנָף
שרון	שָׁרוֹן
סינגל	סִינְגֶל
חובה	חוֹבָה
מפלגה	מִפְלָגָה
ששת	שֵׁשֶׁת
המעבר	הַמַּעֲבָר
שאם	שֶׁאִם
מאה	מֵאָה
במכון	בַּמָּכוֹן
ביקש	בִּיקֵּשׁ
ממשלה	מֶמְשָׁלָה
נכלל	נִכְלָל
והפך	וְהָפַךְ
ארכיון	אַרְכִיּוֹן
עמית	עָמִית
ארתור	אַרְתוֹר
לומר	לוֹמַר
נחשבת	נֶחְשֶׁבֶת
בתולדות	בְּתוֹלְדוֹת
פועלים	פּוֹעֲלִים
כאחד	כְּאֶחָד
חמאס	חָמַאס
לספק	לְסַפֵּק
הפוליטית	הַפּוֹלִיטִית
התקיים	הִתְקַיֵּים
הגרסה	הַגִּרְסָה
פתיחת	פְּתִיחַת
שגרירות	שַׁגְרִירוּת
הציע	הִצִּיעַ
רוסים	רוּסִים
כדורסל	כַּדּוּרְסַל
בנק	בַּנְק
השמיני	הַשְּׁמִינִי
איסור	אִיסּוּר
התקליטים	הַתַּקְלִיטִים
פוליטיקאי	פּוֹלִיטִיקַאי
נסיך	נָסִיךְ
המלכותית	הַמַּלְכוּתִית
לקבוצה	לַקְבוּצָה
צריכים	צְרִיכִים
אשמח	אֶשְׂמַח
נשלח	נִשְׁלַח
ניכר	נִיכָּר
פרט	פְּרָט
הקטן	הַקָּטָן
עולים	עוֹלִים
חלקם	חֶלְקָם
הטיפול	הַטִּיפּוּל
המושל	הַמּוֹשֵׁל
הקרן	הַקֶּרֶן
לקבוצת	לִקְבוּצַת
הודעה	הוֹדָעָה
פועל	פּוֹעֵל
לציין	לְצַיֵּין
טום	טוֹם
האש	הָאֵשׁ
עיטור	עִיטּוּר
הכלכלי	הַכַּלְכָּלִי
הספרדית	הַסְּפָרַדִּית
לצבא	לַצָּבָא
ארגנטינה	אַרְגֶּנְטִינָה
הלב	הַלֵּב
עיראק	עִירָאק
כדאי	כְּדַאי
הפלסטינית	הַפָלַסְטִינִית
בעצמו	בְּעַצְמוֹ
באקדמיה	בָּאָקָדֶמְיָה
ויליאמס	וִילְיַאמְס
המשלחת	הַמִּשְׁלַחַת
הספורט	הַסְּפּוֹרְט
מארי	מָארִי
קיבוץ	קִיבּוּץ
משם	מִשָּׁם
המדע	הַמַּדָּע
קשרים	קְשָׁרִים
בשפת	בְּשְׂפַת
קיום	קִיּוּם
נותר	נוֹתַר
חזק	חָזָק
בסדר	בְּסֵדֶר
השליטה	הַשְּׁלִיטָה
האדמה	הָאֲדָמָה
אנטי	אַנְטִי
גילם	גִּילָם
כלכלי	כַּלְכָּלִי
פוליטי	פּוֹלִיטִי
תקליטים	תַּקְלִיטִים
טענה	טַעֲנָה
הנאצים	הַנָּאצִים
בחברת	בְּחֶבְרַת
שיטות	שִׁיטוֹת
שהגיע	שֶׁהִגִּיעַ
וכדומה	וְכַדּוֹמֶה
הבסיס	הַבָּסִיס
בהצלחה	בְּהַצְלָחָה
הביטוי	הַבִּיטּוּי
נרחב	נִרְחָב
שכבר	שֶׁכְּבָר
בהרבה	בְּהַרְבֵּה
הכיבוש	הַכִּיבּוּשׁ
נוסעים	נוֹסְעִים
לכנסת	לַכְּנֶסֶת
מילה	מִילָּה
גילה	גִּילָה
דומים	דּוֹמִים
אוטומטית	אוֹטוֹמָטִית
עיתון	עִיתּוֹן
ערן	עֵרָן
תכנון	תִּכְנוּן
הישן	הַיָּשָׁן
החמישית	הַחֲמִישִׁית
ציוד	צִיּוּד
בעמדת	בְּעֶמְדַּת
המרד	הַמֶּרֶד
בחיל	בְּחֵיל
אסף	אָסָף
דיונים	דִּיּוּנִים
התפקיד	הַתַּפְקִיד
ביקר	בִּיקֵּר
גילוי	גִּילּוּי
הדם	הַדָּם
שיעור	שִׁיעוּר
יחס	יַחַס
עצם	עֶצֶם
ישו	יֵשׁוּ
מהלך	מַהֲלָך
לספירה	לַסְּפִירָה
חיה	חַיָּה
גרמנית	גֶּרְמָנִית
המילים	הַמִּילִּים
מאפשר	מְאַפְשֵׁר
מרחב	מֶרְחָב
עידן	עִידָּן
באמריקה	בְּאָמֵרִיקָה
ההצעה	הַהַצָּעָה
הערה	הֶעָרָה
בספרות	בְּסִּפְרוּת
הכיפורים	הַכִּיפּוּרִים
מכתב	מִכְתָּב
רופא	רוֹפֵא
להלן	לְהַלָּן
הברזל	הַבַּרְזֶל
הפועלים	הַפּוֹעֲלִים
הקשורים	הַקְּשׁוּרִים
הגבוהה	הַגְּבוֹהָה
משתתפים	מִשְׁתַּתְּפִים
ברוסית	בְּרוּסִית
הבלתי	הַבִּלְתִּי
ביניהן	בֵּינֵיהֶן
יישוב	יִישּׁוּב
לפעמים	לִפְעָמִים
מוסד	מוֹסָד
באנגליה	בְּאַנְגְּלִיָּה
הכבוד	הַכָּבוֹד
שהפך	שֶׁהָפַךְ
מושבים	מוֹשָׁבִים
נוסדה	נוֹסְדָה
שיהיה	שֶׁיִּהְיֶה
ישנן	יֶשְׁנָן
התושבים	הַתּוֹשָׁבִים
מעין	מֵעֵין
הצעה	הַצָּעָה
השחקנית	הַשַּׂחְקָנִית
נשא	נַשָּׂא
הקבורים	הַקְּבוּרִים
מגורים	מְגוּרִים
סטיבן	סְטִיבָן
מגיעים	מַגִּיעִים
האנגלי	הָאַנְגְּלִי
אק	אַק
לאמנויות	לְאׇמָּנוּיוֹת
חוקר	חוֹקֵר
עשויים	עֲשׂוּיִים
העליונה	הָעֶלְיוֹנָה
האלופות	הָאַלּוּפוֹת
הטקסט	הַטֶּקְסְט
הלימודים	הַלִּימּוּדִים
כלכלה	כַּלְכָּלָה
להוציא	לְהוֹצִיא
אחרון	אַחֲרוֹן
יואב	יוֹאָב
ציבורי	צִיבּוּרִי
הקטע	הַקֶּטַע
ריצת	רִיצַת
המוסד	הַמּוֹסָד
פורטוגל	פּוֹרְטוּגָל
נהוג	נָהוּג
לרבות	לְרַבּוֹת
מערך	מַעֲרָךְ
קצרים	קְצָרִים
קומיקס	קוֹמִיקְס
העיקריים	הָעִיקָּרִיִּים
החזית	הַחֲזִית
הכסף	הַכֶּסֶף
האפשרות	הָאֶפְשָׁרוּת
נפש	נֶפֶשׁ
שהן	שֶׁהֵן
משמשת	מְשַׁמֶּשֶׁת
שלטונו	שִׁלְטוֹנוֹ
בטענה	בְּטַעֲנָה
הכוללת	הַכּוֹלֶלֶת
חשמל	חַשְׁמַל
המחשב	הַמַּחְשֵׁב
בולגריה	בּוּלְגַרְיָה
הספינה	הַסְּפִינָה
ישיר	יָשִׁיר
מקומיים	מְקוֹמִיִּים
עצמאית	עַצְמָאִית
פתרון	פִּתְרוֹן
המלא	הַמָּלֵא
יוכל	יוּכַל
טוען	טוֹעֵן
קרבות	קְרָבוֹת
התמנה	הִתְמַנָּה
בערכים	בַּעֲרָכִים
התנהגות	הִתְנַהֲגוּת
שלם	שָׁלֵם
חייה	חַיֶּיהָ
מדיה	מֶדְיָה
דעות	דֵּעוֹת
משפטים	מִשְׁפָּטִים
סוגים	סוּגִים
הקיץ	הַקַּיִץ
שילוב	שִׁילּוּב
טובים	טוֹבִים
התחתון	הַתַּחְתּוֹן
העיקרית	הָעִיקָּרִית
הנשק	הַנֶּשֶׁק
שנכתב	שֶׁנִּכְתַּב
בלגיה	בֶּלְגִּיָּה
ביל	בִּיל
לעיל	לְעֵיל
המשרד	הַמִּשְׂרָד
הדגל	הַדֶּגֶל
כלים	כֵּלִים
המנדט	הַמַּנְדָּט
נזק	נֶזֶק
קרקע	קַרְקַע
היסטורי	הִיסְטוֹרִי
מילר	מִילֶר
תכונות	תְּכוּנוֹת
נפרד	נִפְרָד
צי	צִי
עמודים	עַמּוּדִים
מוזיקלי	מוּזִיקָלִי
הרפובליקנית	הָרֶפּוּבְּלִיקָנִית
הסובייטית	הַסּוֹבְיֵיטִית
לתקן	לְתַקֵּן
שושלת	שׁוֹשֶׁלֶת
רון	רוֹן
טיסה	טִיסָה
תלמידים	תַּלְמִידִים
עלו	עָלוּ
העממית	הָעֲמָמִית
זמרת	זַמֶּרֶת
תיקון	תִּיקּוּן
רבע	רֶבַע
הקטנה	הַקְּטַנָּה
להצטרף	לְהִצְטָרֵף
בפולין	בְּפּוֹלִין
ניצחונות	נִיצְחוֹנוֹת
זמנית	זְמַנִּית
שלישית	שְׁלִישִׁית
במצרים	בְּמִצְרַיִם
מתקופת	מִתְּקוּפַת
עצמית	עַצְמִית
פרטיים	פְּרָטִיִּים
האלבומים	הָאַלְבּוֹמִים
צדק	צֶדֶק
האפיפיור	הָאַפִּיפְיוֹר
פוסט	פּוֹסְט
הקודמת	הַקּוֹדֶמֶת
מקומית	מְקוֹמִית
המודיעין	הַמּוֹדִיעִין
עודד	עוֹדֵד
פרנסיסקו	פְרַנְסִיסְקוֹ
החדשות	הַחֲדָשׁוֹת
מחלות	מַחֲלוֹת
כינוי	כִּינּוּי
טוני	טוֹנִי
מועצה	מוֹעָצָה
פורד	פוֹרְד
הופך	הוֹפֵךְ
הישגים	הֶישֵּׂגִים
הפתוחה	הַפְּתוּחָה
עלילה	עֲלִילָה
החדשים	הַחֲדָשִׁים
רוזן	רוֹזֵן
פתוח	פָּתוּחַ
מקומי	מְקוֹמִי
בוגרות	בּוֹגְרוֹת
הקורונה	הַקּוֹרוֹנָה
המחזה	הַמַּחֲזֶה
האמת	הָאֱמֶת
עדיף	עָדִיף
קינג	קִינְג
דל	דַּל
הלוי	הַלֵּוִי
שפירא	שַׁפִּירָא
בניסיון	בְּנִיסָּיוֹן
בריצת	בְּרִיצַת
סטודנטים	סְטוּדֶנְטִים
רואים	רוֹאִים
חלל	חָלָל
צלב	צְלָב
הרומן	הָרוֹמָן
זוהי	זוֹהִי
לקיים	לְקַיֵּים
טראמפ	טְרַאמְפּ
לעבודה	לַעֲבוֹדָה
דתית	דָּתִית
העובדים	הָעוֹבְדִים
עליון	עֶלְיוֹן
נהג	נַהָג
האישי	הָאִישִׁי
מהיר	מָהִיר
ברומא	בְּרוֹמָא
הצטרפה	הִצְטָרְפָה
במשפט	בְּמִּשְׁפָּט
צבאיים	צְבָאִיִּים
התחנה	הַתַּחֲנָה
מבקש	מְבַקֵּשׁ
האמריקני	הָאָמֵרִיקָנִי
השכלה	הַשְׂכָּלָה
מינכן	מִינְכֶן
השרון	הַשָּׁרוֹן
צרפתית	צָרְפָתִית
שנערכו	שֶׁנֶּעֶרְכוּ
וינה	וִינָה
סחר	סַחַר
גבוהים	גְּבוֹהִים
הירח	הַיָּרֵחַ
האנרגיה	הָאֵנֶרְגִּיָּה
אגב	אַגַּב
האיטלקי	הָאִיטַלְקִי
עופות	עוֹפוֹת
בחזית	בַּחֲזִית
ההחלטה	הַהַחְלָטָה
הכהן	הַכֹּהֵן
בינתיים	בֵּינְתַיִים
